Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,CountDeclFileCode,CountDeclFileHeader,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethodConst,CountDeclMethodFriend,CountLineInactive,CountLinePreprocessor,CountStmtEmpty,CountCCViol,CountCCViolType,CCViolDensityLine,CCViolDensityCode,BugStatus,Priority
LocalSparkJobMonitor.java,53.0,5.0,47.0,2.0,8.0,1.0,9.0,9.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,2.0,17.0,0.0,0.0,0.0,2.0,24.0,142.0,16.0,102.0,20.0,79.0,24.0,21.0,65.0,80.0,21.0,64.0,15.0,15.0,2.0,6.0,0.0,0.0,"0,24",16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",1,1
LocalSparkJobRef.java,6.0,0.0,6.0,0.0,1.0,2.0,7.0,7.0,0.0,1.0,0.0,0.0,5.0,0.0,5.0,5.0,4.0,5.0,5.0,0.0,0.0,0.0,5.0,7.0,67.0,9.0,41.0,26.0,11.0,17.0,9.0,21.0,27.0,18.0,11.0,4.0,1.0,1.0,0.0,50.0,50.0,"0,41",5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",1,1
LocalSparkJobStatus.java,10.0,0.0,9.0,0.0,2.0,2.0,28.0,28.0,0.0,1.0,0.0,1.0,14.0,0.0,14.0,14.0,7.0,14.0,14.0,0.0,2.0,0.0,12.0,32.0,210.0,22.0,164.0,77.0,76.0,24.0,62.0,83.0,118.0,67.0,68.0,30.0,5.0,1.0,2.0,73.0,68.0,"0,15",31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",1,1
Lock.java,8.0,0.0,7.0,1.0,2.0,1.0,32.0,32.0,0.0,2.0,5.0,3.0,27.0,0.0,27.0,22.0,19.0,27.0,16.0,5.0,9.0,0.0,13.0,94.0,327.0,39.0,249.0,92.0,130.0,39.0,66.0,136.0,188.0,89.0,113.0,32.0,8.0,1.0,4.0,80.0,60.0,"0,16",49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
LockComponent.java,13.0,1.0,12.0,1.0,3.0,5.0,42.0,42.0,0.0,6.0,3.0,15.0,73.0,0.0,71.0,70.0,19.0,73.0,59.0,1.0,2.0,0.0,70.0,455.0,1158.0,135.0,954.0,187.0,622.0,93.0,162.0,448.0,672.0,165.0,548.0,192.0,26.0,1.0,3.0,82.0,71.0,"0,10",252.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
LockComponentBuilder.java,7.0,0.0,4.0,3.0,1.0,1.0,5.0,5.0,0.0,1.0,0.0,0.0,11.0,0.0,11.0,11.0,3.0,11.0,11.0,0.0,0.0,0.0,11.0,69.0,121.0,11.0,59.0,21.0,27.0,51.0,22.0,35.0,49.0,21.0,28.0,12.0,3.0,1.0,1.0,48.0,48.0,"0,86",13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
LockDatabaseDesc.java,3.0,0.0,3.0,0.0,1.0,2.0,3.0,3.0,0.0,1.0,0.0,1.0,10.0,0.0,10.0,10.0,4.0,10.0,10.0,0.0,0.0,0.0,10.0,15.0,79.0,15.0,43.0,21.0,12.0,21.0,8.0,19.0,30.0,19.0,11.0,8.0,1.0,2.0,0.0,73.0,73.0,"0,49",10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",1,1
LockException.java,3.0,0.0,3.0,0.0,1.0,2.0,5.0,5.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,2.0,19.0,0.0,0.0,0.0,2.0,0.0,32.0,5.0,10.0,5.0,3.0,17.0,0.0,4.0,7.0,5.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,"1,70",2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",1,1
LockException.java,3.0,0.0,3.0,0.0,1.0,2.0,5.0,5.0,0.0,1.0,0.0,1.0,6.0,0.0,6.0,6.0,0.0,6.0,19.0,0.0,0.0,0.0,6.0,0.0,53.0,9.0,24.0,11.0,7.0,20.0,0.0,10.0,17.0,11.0,6.0,0.0,1.0,3.0,0.0,0.0,0.0,"0,83",6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",1,1
LockFailureListener.java,4.0,0.0,4.0,0.0,1.0,2.0,5.0,5.0,0.0,2.0,0.0,2.0,2.0,0.0,3.0,3.0,0.0,3.0,2.0,1.0,0.0,0.0,2.0,7.0,46.0,7.0,18.0,9.0,8.0,21.0,3.0,8.0,11.0,9.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,"1,17",2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
