Name,LinesAdded,LinesDeleted,CommitCount,DeveloperCount,BugFixCount,CumulativeDeveloperCount,AverageTimeBetweenChanges,CumulativeCommitCount,ChangedComments,UnchangedComments,CumulativeChangedComments,CumulativeUnchangedComments,CumulativeAverageTimeBetweenChanges,AverageExpertise,MinimumExpertise
ACLConfigurationParser.java,168,1,2,2,1,2,6773.5,2,0,2,0,2,6773.5,1.0,1
AMReporter.java,338,190,6,3,0,3,1036764.3333333334,6,0,6,0,6,1036764.3333333334,2.0,1
ASTBuilder.java,194,112,14,7,1,7,37510.0,14,0,14,0,14,37510.0,2.0,1
ASTConverter.java,297,120,15,8,1,8,102089.86666666667,15,0,15,0,15,102089.86666666667,1.875,1
ASTErrorNode.java,1,1,1,1,1,1,12710.0,1,0,1,0,1,12710.0,1.0,1
ASTNode.java,9,10,3,2,1,2,2072453.3333333333,3,0,3,0,3,2072453.3333333333,1.5,1
ASTNodeOrigin.java,1,1,1,1,1,1,12710.0,1,0,1,0,1,12710.0,1.0,1
ATSHook.java,351,96,12,5,1,5,637390.4166666666,12,0,12,0,12,637390.4166666666,2.4,1
AbortTxnEvent.java,83,32,2,1,0,1,66896.5,2,0,2,0,2,66896.5,2.0,2
AbortTxnHandler.java,99,2,4,1,0,1,74325.5,4,0,4,0,4,74325.5,4.0,4
AbortTxnMessage.java,36,0,1,1,0,1,97356.0,1,0,1,0,1,97356.0,1.0,1
AbortTxnRequest.java,886,776,6,4,0,4,32594.833333333332,6,0,6,0,6,32594.833333333332,1.5,1
AbortTxnsDesc.java,1,1,1,1,1,1,12710.0,1,0,1,0,1,12710.0,1.0,1
AbortTxnsRequest.java,1053,1053,16,9,0,9,29674.5,16,0,16,0,16,29674.5,1.7777777777777777,1
AbstractBucketJoinProc.java,17,4,6,4,2,4,56172.333333333336,6,0,6,0,6,56172.333333333336,1.5,1
AbstractCliConfig.java,33,43,8,7,1,7,134396.125,8,0,8,0,8,134396.125,1.1428571428571428,1
AbstractCommandHandler.java,1,1,1,1,1,1,12710.0,1,0,1,0,1,12710.0,1.0,1
AbstractConstraintEventHandler.java,36,0,1,1,0,1,4974.0,1,0,1,0,1,4974.0,1.0,1
