Name,LinesAdded,LinesDeleted,CommitCount,DeveloperCount,BugFixCount,CumulativeDeveloperCount,AverageTimeBetweenChanges,CumulativeCommitCount,ChangedComments,UnchangedComments,CumulativeChangedComments,CumulativeUnchangedComments,CumulativeAverageTimeBetweenChanges,AverageExpertise,MinimumExpertise
ACLConfigurationParser.java,167,0,1,1,0,1,0.0,1,0,1,0,1,0.0,1.0,1
AMReporter.java,128,78,5,4,0,4,0.4,5,0,5,0,5,0.4,1.25,1
ASTBuilder.java,85,42,4,2,1,2,1.0,4,0,4,0,4,1.0,2.0,1
ASTConverter.java,129,43,5,3,1,3,1.0,5,0,5,0,5,1.0,1.6666666666666667,1
ASTNode.java,8,9,2,1,0,1,1.0,2,0,2,0,2,1.0,2.0,2
ATSHook.java,452,191,10,6,0,6,0.5,10,0,10,0,10,0.5,1.6666666666666667,1
AbstractCliConfig.java,439,1,3,1,0,1,0.3333333333333333,3,0,3,0,3,0.3333333333333333,3.0,3
AbstractMapJoinOperator.java,1,1,1,1,0,1,0.0,1,0,1,0,1,0.0,1.0,1
AbstractOperatorDesc.java,23,0,2,2,1,2,1.0,2,0,2,0,2,1.0,1.0,1
AcidStats.java,60,60,2,1,0,1,81901.0,2,0,2,0,2,81901.0,2.0,2
AcidUtils.java,29,11,2,2,1,2,0.5,2,1,1,1,1,0.5,1.0,1
AddPartitionDesc.java,22,0,1,1,0,1,0.0,1,0,1,0,1,0.0,1.0,1
AddPartitionMessage.java,66,0,3,3,0,3,0.3333333333333333,3,0,3,0,3,0.3333333333333333,1.0,1
AggregateDefinition.java,7,6,1,1,0,1,1.0,1,0,1,0,1,1.0,1.0,1
AggregationDesc.java,7,0,1,1,0,1,0.0,1,0,1,0,1,0.0,1.0,1
Allocator.java,13,3,1,1,1,1,92499.0,1,0,1,0,1,92499.0,1.0,1
AlterHandler.java,102,14,1,1,0,1,0.0,1,0,1,0,1,0.0,1.0,1
AlterIndexMessage.java,63,0,3,2,0,2,0.6666666666666666,3,0,3,0,3,0.6666666666666666,1.5,1
AlterPartitionMessage.java,65,0,2,2,0,2,0.0,2,0,2,0,2,0.0,1.0,1
AlterTableMessage.java,54,0,2,2,0,2,0.0,2,0,2,0,2,0.0,1.0,1
AnnotateReduceSinkOutputOperator.java,73,0,1,1,0,1,1.0,1,0,1,0,1,1.0,1.0,1
AnnotateRunTimeStatsOptimizer.java,174,0,1,1,0,1,1.0,1,0,1,0,1,1.0,1.0,1
AuthorizationTestUtil.java,1,1,1,1,0,1,1.0,1,0,1,0,1,1.0,1.0,1
AvroGenericRecordReader.java,6,4,1,1,1,1,0.0,1,0,1,0,1,0.0,1.0,1
AvroSerdeUtils.java,3,2,1,1,0,1,1.0,1,0,1,0,1,1.0,1.0,1
BaseSemanticAnalyzer.java,46,5,2,1,0,1,0.0,2,0,2,0,2,0.0,2.0,2
BaseWork.java,25,0,2,2,0,2,0.5,2,0,2,0,2,0.5,1.0,1
BatchToRowInputFormat.java,31,0,1,1,0,1,0.0,1,0,1,0,1,0.0,1.0,1
BatchToRowReader.java,623,0,1,1,0,1,0.0,1,0,1,0,1,0.0,1.0,1
BeeLine.java,3,2,1,1,0,1,0.0,1,0,1,0,1,0.0,1.0,1
BeeLineOpts.java,2,1,2,2,0,2,0.5,2,0,2,0,2,0.5,1.0,1
BeelineInPlaceUpdateStream.java,84,0,2,2,1,2,49180.0,2,0,2,0,2,49180.0,1.0,1
BinaryColumnStatistics.java,25,27,2,1,0,1,81901.0,2,0,2,0,2,81901.0,2.0,2
BinarySortableDeserializeRead.java,161,111,3,1,0,1,0.3333333333333333,3,0,3,0,3,0.3333333333333333,3.0,3
BinarySortableSerDe.java,120,18,1,1,0,1,1.0,1,0,1,0,1,1.0,1.0,1
BinarySortableSerializeWrite.java,25,1,1,1,0,1,1.0,1,0,1,0,1,1.0,1.0,1
BitFieldReader.java,214,217,2,1,0,1,81901.0,2,0,2,0,2,81901.0,2.0,2
BitFieldWriter.java,69,73,2,1,0,1,81901.0,2,0,2,0,2,81901.0,2.0,2
BloomFilter.java,93,2,3,3,0,3,0.3333333333333333,3,0,3,0,3,0.3333333333333333,1.0,1
BloomFilterIO.java,43,43,2,1,0,1,81901.0,2,0,2,0,2,81901.0,2.0,2
BooleanColumnStatistics.java,27,29,2,1,0,1,81901.0,2,0,2,0,2,81901.0,2.0,2
BucketingSortingReduceSinkOptimizer.java,5,2,1,1,0,1,1.0,1,0,1,0,1,1.0,1.0,1
BuddyAllocator.java,8,4,3,3,1,3,0.0,3,0,3,0,3,0.0,1.0,1
BufferChunk.java,85,85,2,1,0,1,81901.0,2,0,2,0,2,81901.0,2.0,2
BytesBytesMultiHashMap.java,8,2,1,1,0,1,0.0,1,0,1,0,1,0.0,1.0,1
BytesColumnVector.java,115,18,4,4,1,4,23125.0,4,0,4,0,4,23125.0,1.0,1
CLIService.java,84,35,3,3,0,3,0.3333333333333333,3,0,3,0,3,0.3333333333333333,1.0,1
CLIServiceTest.java,16,15,3,2,0,2,0.0,3,0,3,0,3,0.0,1.5,1
CacheChunk.java,6,1,2,1,0,1,0.5,2,0,2,0,2,0.5,2.0,2
CalcitePlanner.java,1079,377,20,8,3,8,2750.9,20,0,20,0,20,2750.9,2.5,1
CalciteSemanticException.java,5,5,2,2,0,2,0.0,2,0,2,0,2,0.0,1.0,1
CalciteSubquerySemanticException.java,52,0,1,1,0,1,0.0,1,0,1,0,1,0.0,1.0,1
CalciteViewSemanticException.java,52,0,1,1,0,1,1.0,1,0,1,0,1,1.0,1.0,1
CastDecimalToBoolean.java,6,1,1,1,0,1,1.0,1,0,1,0,1,1.0,1.0,1
CastDecimalToChar.java,2,2,1,1,0,1,1.0,1,0,1,0,1,1.0,1.0,1
CastDecimalToDouble.java,1,1,1,1,0,1,1.0,1,0,1,0,1,1.0,1.0,1
