Name,LinesAdded,LinesDeleted,CommitCount,DeveloperCount
AMReporter.java,545,67,14,4
ASTBuilder.java,585,267,14,6
ASTConverter.java,1651,892,28,13
ASTNode.java,714,82,9,5
ATSHook.java,222,103,19,11
AbortTxnRequest.java,82,62,15,7
AbstractBucketJoinProc.java,78,64,6,6
AbstractCommandHandler.java,12,12,1,1
AbstractCorrelationProcCtx.java,28,0,4,3
AbstractEncodingAwareSerDe.java,36,11,7,7
AbstractExpression.java,150,0,1,1
AbstractFileMergeOperator.java,323,41,9,6
AbstractGenericUDFEWAHBitmapBop.java,2,22,2,2
AbstractGenericUDFReflect.java,2,20,2,2
AbstractHBaseKeyPredicateDecomposer.java,8,8,2,2
AbstractHiveAuthorizer.java,41,0,1,1
AbstractHiveService.java,3,3,1,1
AbstractJoinTaskDispatcher.java,2,5,1,1
AbstractMapJoinOperator.java,32,33,8,5
AbstractOperatorDesc.java,126,27,18,10
AbstractParquetMapInspector.java,63,77,10,6
AbstractPrimitiveObjectInspector.java,5,0,5,4
AbstractRecordWriter.java,264,69,19,10
AbstractRowContainer.java,33,0,3,3
AbstractSMBJoinProc.java,62,78,6,5
AbstractSerDe.java,26,3,3,1
AbstractService.java,6,6,2,2
AbstractTestAuthorizationApiAuthorizer.java,211,0,1,1
AbstractTestGenericUDFOPNumeric.java,56,0,1,1
AbstractTestParquetDirect.java,314,66,14,9
AccumuloConnectionParameters.java,535,20,5,5
AccumuloHiveRow.java,17,0,1,1
AccumuloPredicateHandler.java,25,6,4,4
AccumuloQTestUtil.java,3,3,3,3
AccumuloRowSerializer.java,14,15,5,4
AccumuloSerDe.java,23,6,3,3
AccumuloSerDeParameters.java,23,20,6,6
AccumuloStorageHandler.java,267,0,6,5
AcidCompactionHistoryService.java,83,0,1,1
AcidHouseKeeperService.java,449,62,9,5
AcidInputFormat.java,297,19,7,6
AcidOutputFormat.java,235,10,5,5
AcidTable.java,577,0,6,4
AcidTableSerializer.java,517,0,6,4
AcidUtils.java,1286,380,19,9
AddDynamicPartitions.java,2407,188,21,9
AddIndexEvent.java,36,0,1,1
AddPartitionDesc.java,45,0,3,3
AddPartitionEvent.java,21,21,3,3
AddPartitionReplicationTask.java,333,0,3,3
AddPartitionsRequest.java,229,209,18,9
AddPartitionsResult.java,147,127,18,9
AddResourceProcessor.java,33,12,5,4
Adjacency.java,176,171,15,7
AdjacencyType.java,6,6,6,4
AdminAuthorizedServlet.java,45,0,1,1
AggrStats.java,163,143,18,9
AggrStatsInvalidatorFilter.java,613,8,7,6
AggregateIndexHandler.java,0,2,2,2
AggregateStatsCache.java,2964,674,19,10
AggregationDesc.java,0,4,1,1
Allocator.java,247,194,11,1
AlreadyExistsException.java,81,61,15,7
AlterDatabaseDesc.java,12,6,3,3
AlterHandler.java,26,1,1,1
AlterIndexDesc.java,15,9,3,3
AlterIndexEvent.java,43,0,1,1
AlterPartitionEvent.java,12,1,1,1
AlterPartitionMessage.java,52,9,4,4
AlterPartitionReplicationTask.java,264,0,3,3
AlterTableDesc.java,112,85,11,6
AlterTableMessage.java,37,0,1,1
AlterTablePartMergeFilesDesc.java,9,3,3,3
AlterTableReplicationTask.java,255,0,3,3
