Name,LinesAdded,LinesDeleted,CommitCount,DeveloperCount,BugFixCount,CumulativeDeveloperCount,AverageTimeBetweenChanges,CumulativeCommitCount,ChangedComments,UnchangedComments,CumulativeChangedComments,CumulativeUnchangedComments,CumulativeAverageTimeBetweenChanges,AverageExpertise,MinimumExpertise
AbstractFileMergeOperator.java,14,9,1,1,0,1,105238.0,1,0,1,0,1,105238.0,1.0,1
AcidUtils.java,34,0,1,1,0,1,54138.0,1,0,1,0,1,54138.0,1.0,1
AvroSerdeUtils.java,19,1,1,1,0,1,415008.0,1,0,1,0,1,415008.0,1.0,1
BinarySortableSerializeWrite.java,0,13,1,1,0,1,5780.0,1,0,1,0,1,5780.0,1.0,1
BucketingSortingReduceSinkOptimizer.java,1,1,1,1,0,1,54138.0,1,0,1,0,1,54138.0,1.0,1
CalcitePlanner.java,21,10,1,1,0,1,319.0,1,0,1,0,1,319.0,1.0,1
CastDecimalToTimestamp.java,10,13,2,1,1,1,3395.0,2,0,2,0,2,3395.0,2.0,2
CastDoubleToTimestamp.java,133,7,2,1,1,1,3395.0,2,0,2,0,2,3395.0,2.0,2
CastLongToDate.java,1,57,1,1,0,1,5780.0,1,0,1,0,1,5780.0,1.0,1
CastLongToTimestamp.java,129,3,2,1,1,1,3395.0,2,0,2,0,2,3395.0,2.0,2
CastMillisecondsLongToTimestamp.java,134,8,2,1,1,1,3395.0,2,0,2,0,2,3395.0,2.0,2
CastStringToIntervalDayTime.java,9,8,2,1,1,1,3395.0,2,0,2,0,2,3395.0,2.0,2
CastTimestampToBoolean.java,140,2,2,1,1,1,3395.0,2,0,2,0,2,3395.0,2.0,2
CastTimestampToDate.java,50,1,2,1,1,1,3395.0,2,0,2,0,2,3395.0,2.0,2
CastTimestampToDecimal.java,9,14,2,1,1,1,3395.0,2,0,2,0,2,3395.0,2.0,2
CastTimestampToDouble.java,138,7,2,1,1,1,3395.0,2,0,2,0,2,3395.0,2.0,2
CastTimestampToLong.java,139,6,2,1,1,1,3395.0,2,0,2,0,2,3395.0,2.0,2
Cleaner.java,8,2,2,1,0,1,29546.0,2,0,2,0,2,29546.0,2.0,2
CliDriver.java,7,3,2,2,0,2,51446.0,2,0,2,0,2,51446.0,1.0,1
ColumnVector.java,2,1,2,1,1,1,3395.0,2,0,2,0,2,3395.0,2.0,2
CommonCliOptions.java,22,1,1,1,0,1,358.0,1,0,1,0,1,358.0,1.0,1
CompactorMR.java,6,2,1,1,0,1,54138.0,1,0,1,0,1,54138.0,1.0,1
CompactorThread.java,5,0,1,1,0,1,59084.0,1,0,1,0,1,59084.0,1.0,1
ConstantPropagateProcFactory.java,31,1,1,1,0,1,562206.0,1,0,1,0,1,562206.0,1.0,1
ConstantVectorExpression.java,84,44,2,1,1,1,3395.0,2,0,2,0,2,3395.0,2.0,2
Converters.java,1,0,1,1,0,1,0.0,1,0,1,0,1,0.0,1.0,1
DDLTask.java,23,8,1,1,0,1,3494.0,1,0,1,0,1,3494.0,1.0,1
DataReader.java,2,4,1,1,1,1,441546.0,1,0,1,0,1,441546.0,1.0,1
DataReaderFactory.java,27,0,2,2,1,2,259337.5,2,0,2,0,2,259337.5,1.0,1
DataReaderProperties.java,102,0,2,2,1,2,259337.5,2,0,2,0,2,259337.5,1.0,1
DatabaseConnection.java,8,4,1,1,0,1,416021.0,1,0,1,0,1,416021.0,1.0,1
DateColSubtractDateColumn.java,226,41,2,1,1,1,3395.0,2,0,2,0,2,3395.0,2.0,2
DateColSubtractDateScalar.java,174,27,2,1,1,1,3395.0,2,0,2,0,2,3395.0,2.0,2
DateScalarSubtractDateColumn.java,178,28,2,1,1,1,3395.0,2,0,2,0,2,3395.0,2.0,2
DateTimeMath.java,201,34,2,1,1,1,3395.0,2,0,2,0,2,3395.0,2.0,2
DateUtils.java,0,19,1,1,1,1,1010.0,1,0,1,0,1,1010.0,1.0,1
Deadline.java,27,36,1,1,1,1,168464.0,1,0,1,0,1,168464.0,1.0,1
DecimalColumnVector.java,8,3,1,1,0,1,462817.0,1,0,1,0,1,462817.0,1.0,1
DefaultDataReaderFactory.java,32,0,2,2,1,2,259337.5,2,0,2,0,2,259337.5,1.0,1
DefaultMetadataReaderFactory.java,32,0,2,2,1,2,259337.5,2,0,2,0,2,259337.5,1.0,1
Driver.java,0,6,1,1,0,1,7.0,1,0,1,0,1,7.0,1.0,1
EncodedReaderImpl.java,1,1,1,1,0,1,87.0,1,0,1,0,1,87.0,1.0,1
ErrorMsg.java,4,1,1,1,0,1,54138.0,1,0,1,0,1,54138.0,1.0,1
FakeVectorRowBatchFromObjectIterables.java,6,6,2,1,1,1,3395.0,2,0,2,0,2,3395.0,2.0,2
FetchOperator.java,2,1,1,1,0,1,3494.0,1,0,1,0,1,3494.0,1.0,1
FetchTask.java,3,0,1,1,0,1,54138.0,1,0,1,0,1,54138.0,1.0,1
FilterTimestampColumnInList.java,190,18,2,1,1,1,3395.0,2,0,2,0,2,3395.0,2.0,2
FosterStorageHandler.java,3,0,1,1,0,1,54138.0,1,0,1,0,1,54138.0,1.0,1
FuncDecimalToTimestamp.java,135,0,1,1,0,1,5780.0,1,0,1,0,1,5780.0,1.0,1
FuncTimestampToDecimal.java,144,0,1,1,0,1,5780.0,1,0,1,0,1,5780.0,1.0,1
FuncTimestampToLong.java,145,0,1,1,0,1,5780.0,1,0,1,0,1,5780.0,1.0,1
GenTezUtils.java,2,1,1,1,0,1,352.0,1,0,1,0,1,352.0,1.0,1
GenVectorCode.java,1205,873,2,1,1,1,3395.0,2,0,2,0,2,3395.0,2.0,2
GenericUDAFComputeStats.java,6,0,1,1,0,1,2479.0,1,0,1,0,1,2479.0,1.0,1
GenericUDFDate.java,2,1,1,1,0,1,5780.0,1,0,1,0,1,5780.0,1.0,1
GenericUDFIf.java,15,1,1,1,0,1,5780.0,1,0,1,0,1,5780.0,1.0,1
GenericUDFOPEqual.java,28,4,1,1,0,1,5780.0,1,0,1,0,1,5780.0,1.0,1
GenericUDFOPEqualOrGreaterThan.java,28,4,1,1,0,1,5780.0,1,0,1,0,1,5780.0,1.0,1
GenericUDFOPEqualOrLessThan.java,27,4,1,1,0,1,5780.0,1,0,1,0,1,5780.0,1.0,1
GenericUDFOPGreaterThan.java,27,4,1,1,0,1,5780.0,1,0,1,0,1,5780.0,1.0,1
GenericUDFOPLessThan.java,27,4,1,1,0,1,5780.0,1,0,1,0,1,5780.0,1.0,1
GenericUDFOPMinus.java,1,0,1,1,0,1,5780.0,1,0,1,0,1,5780.0,1.0,1
GenericUDFOPNotEqual.java,28,4,1,1,0,1,5780.0,1,0,1,0,1,5780.0,1.0,1
GenericUDFOPPlus.java,1,0,1,1,0,1,5780.0,1,0,1,0,1,5780.0,1.0,1
GenericUDFTimestamp.java,4,4,1,1,0,1,5780.0,1,0,1,0,1,5780.0,1.0,1
