Name,LinesAdded,LinesDeleted,CommitCount,DeveloperCount
AbstractHCatLoaderTest.java,14,6,1,1
AbstractHCatStorerTest.java,5,11,1,1
AbstractJdbcTriggersTest.java,60,29,2,2
AbstractRecordWriter.java,15,0,1,1
AbstractService.java,16,7,1,1
AcidEventListener.java,51,0,1,1
AcidUtils.java,91,46,3,2
AlterCatalogEvent.java,44,0,1,1
AlterCatalogMessage.java,29,0,1,1
AlterCatalogRequest.java,504,0,1,1
AlterDatabaseHandler.java,5,1,1,1
ArrowColumnarBatchSerDe.java,1227,950,3,2
ArrowWrapperWritable.java,63,2,2,2
AuthorizationPreEventListener.java,3,1,1,1
AvroDeserializer.java,5,5,1,1
AvroSerializer.java,5,8,1,1
BaseJdbcWithMiniLlap.java,630,2,3,2
BaseMaskUDF.java,4,5,1,1
BaseSemanticAnalyzer.java,11,9,1,1
BaseVectorizedColumnReader.java,13,13,1,1
BatchToRowReader.java,24,18,2,2
BeeLine.java,38,16,3,3
BeelineWithHS2ConnectionFileTestBase.java,25,7,1,1
BinarySortableDeserializeRead.java,2,2,1,1
BinarySortableSerDe.java,9,9,1,1
BinarySortableSerializeWrite.java,7,7,1,1
BitSetCheckedAuthorizationProvider.java,3,4,1,1
BloomKFilter.java,2,2,1,1
BucketizedHiveInputFormat.java,68,28,3,1
BytesColumnVector.java,2,3,1,1
CLIService.java,4,1,1,1
CachedStore.java,19,2,2,2
CalcitePlanner.java,69,77,3,2
CastDateToBoolean.java,122,61,3,2
CastDateToString.java,10,3,1,1
CastDateToTimestamp.java,2,2,1,1
CastDecimalToDecimal.java,3,3,3,2
CastDoubleToDecimal.java,30,17,4,2
CastFloatToDecimal.java,130,65,3,2
CastLongToDate.java,0,1,1,1
CastLongToDecimal.java,3,3,3,2
CastLongToTimestamp.java,0,2,1,1
CastMillisecondsLongToTimestamp.java,0,2,1,1
CastStringToDate.java,5,5,1,1
CastStringToDecimal.java,3,3,3,2
CastTimestampToChar.java,54,0,1,1
CastTimestampToDate.java,2,2,1,1
CastTimestampToDecimal.java,5,2,1,1
CastTimestampToDouble.java,0,2,1,1
CastTimestampToLong.java,109,71,3,2
CastTimestampToString.java,68,0,1,1
