Name,LinesAdded,LinesDeleted,CommitCount,DeveloperCount
AbortCompactResponse.java,24,24,1,1
AbortCompactionRequest.java,16,16,1,1
AbortTxnsRequest.java,16,16,1,1
AbstractFilterStringColLikeStringScalar.java,7,7,1,1
AbstractThriftHiveMetastore.java,0,29,1,1
AddDynamicPartitions.java,16,16,1,1
AddPartitionsRequest.java,115,4,1,1
AllocateTableWriteIdsRequest.java,34,34,1,1
AllocateTableWriteIdsResponse.java,18,18,1,1
AlterDataConnectorRequest.java,472,0,1,1
AlterDatabaseRequest.java,472,0,1,1
AlterMaterializedViewRebuildAnalyzer.java,18,15,1,1
AlterPartitionsRequest.java,36,36,1,1
AlterTableConcatenateOperation.java,3,1,1,1
AlterTableRequest.java,16,16,1,1
AppendPartitionsRequest.java,950,0,1,1
BenchmarkUtils.java,5,1,1,1
Bug.java,5,0,1,1
BuiltinFunctions.java,4,0,1,1
CachedStore.java,7,1,1,1
CalcitePlanner.java,1,1,1,1
ClearFileMetadataRequest.java,16,16,1,1
ClientCapabilities.java,18,18,1,1
CommitTxnRequest.java,18,18,1,1
CommonJoinOperator.java,2,0,1,1
CompactionRequest.java,22,22,1,1
ConstraintsUtils.java,2,58,1,1
Context.java,4,2,1,1
ConvertJoinMapJoin.java,24,8,1,1
CopyOnWriteDeleteRewriter.java,8,3,1,1
CopyOnWriteMergeRewriter.java,23,8,2,2
CreateDataConnectorRequest.java,9,15,1,1
CreateDatabaseAnalyzer.java,4,0,1,1
CreateDatabaseRequest.java,156,38,1,1
CreateTableEvent.java,1,1,1,1
CreateTableRequest.java,124,124,1,1
CustomPartitionVertex.java,46,54,1,1
DataConnector.java,22,22,1,1
Date.java,13,4,1,1
DatePartitionedLogger.java,0,185,1,1
DeleteSemanticAnalyzer.java,8,1,1,1
DirectSqlUpdatePart.java,107,101,2,2
DropDataConnectorRequest.java,570,0,1,1
DropPartitionRequest.java,1052,0,1,1
DropTableRequest.java,888,0,1,1
DummyRawStoreControlledCommit.java,8,2,2,2
DummyRawStoreFailEvent.java,7,1,1,1
DummyRawStoreForJdoConnection.java,7,1,1,1
DynamicPartitionPruningOptimization.java,10,3,1,1
Exec.java,20,14,4,1
ExecuteStatementAnalyzer.java,2,0,1,1
ExecuteStatementOperation.java,15,0,1,1
ExprNodeConverter.java,3,0,1,1
ExprNodeGenericFuncDesc.java,3,0,1,1
Expression.java,10,3,1,1
ExtendedTableInfo.java,32,32,1,1
FilterStringColLikeStringScalar.java,78,86,1,1
FindSchemasByColsResp.java,18,18,1,1
FireEventRequest.java,38,38,1,1
FireEventRequestData.java,18,18,1,1
FireEventResponse.java,16,16,1,1
Function.java,18,18,1,1
FunctionDatetime.java,68,14,1,1
FunctionMisc.java,80,10,1,1
FunctionString.java,150,27,1,1
GenericJdbcDatabaseAccessor.java,5,22,2,2
GenericUDAFMkCollectionEvaluator.java,8,13,1,1
GenericUDFIcebergBucket.java,2,1,1,1
GenericUDFIcebergDay.java,2,2,1,1
GenericUDFIcebergHour.java,4,4,1,1
GenericUDFIcebergMonth.java,2,2,1,1
GenericUDFIcebergYear.java,2,2,1,1
GenericUDFLower.java,17,1,1,1
GenericUDFTimestamp.java,17,11,1,1
GenericUDFUpper.java,17,1,1,1
GetAllFunctionsResponse.java,18,18,1,1
GetDatabaseRequest.java,16,16,1,1
GetFieldsResponse.java,18,18,1,1
GetFileMetadataByExprRequest.java,16,16,1,1
GetFileMetadataByExprResult.java,24,24,1,1
GetFileMetadataRequest.java,16,16,1,1
GetFileMetadataResult.java,22,22,1,1
GetLatestCommittedCompactionInfoRequest.java,16,16,1,1
GetLatestCommittedCompactionInfoResponse.java,18,18,1,1
GetOpenTxnsInfoResponse.java,18,18,1,1
GetOpenTxnsRequest.java,18,18,1,1
GetOpenTxnsResponse.java,16,16,1,1
GetPartitionNamesPsRequest.java,16,16,1,1
GetPartitionNamesPsResponse.java,16,16,1,1
GetPartitionRequest.java,16,16,1,1
GetPartitionsByNamesRequest.java,32,32,1,1
GetPartitionsByNamesResult.java,18,18,1,1
GetPartitionsFilterSpec.java,16,16,1,1
GetPartitionsPsWithAuthRequest.java,48,48,1,1
GetPartitionsPsWithAuthResponse.java,18,18,1,1
GetPartitionsRequest.java,32,32,1,1
GetPartitionsResponse.java,18,18,1,1
GetProjectionsSpec.java,16,16,1,1
GetSchemaResponse.java,18,18,1,1
GetTableRequest.java,16,16,1,1
GetTablesExtRequest.java,16,16,1,1
GetTablesRequest.java,32,32,1,1
GetTablesResult.java,18,18,1,1
GetValidWriteIdsRequest.java,16,16,1,1
GetValidWriteIdsResponse.java,18,18,1,1
GroupByDesc.java,14,2,1,1
GroupByOperator.java,6,6,1,1
HMSBenchmarks.java,9,4,1,1
HMSClient.java,3,1,1,1
HMSHandler.java,538,264,6,2
HeartbeatTxnRangeFunction.java,1,1,1,1
HeartbeatTxnRangeResponse.java,32,32,1,1
Hive.java,1,1,1,1
HiveAggregateReduceFunctionsRule.java,59,40,1,1
HiveAggregateSplitRule.java,3,1,1,1
HiveAlterHandler.java,15,11,1,1
HiveConf.java,5,3,3,3
HiveConnection.java,13,17,1,1
HiveFilterProjectTSTransposeRule.java,12,5,1,1
HiveFilterProjectTransposeRule.java,46,17,1,1
HiveGBOpConvUtil.java,57,25,2,2
HiveIcebergInputFormat.java,13,0,1,1
HiveIcebergMetaHook.java,5,0,1,1
HiveIcebergOutputCommitter.java,18,5,1,1
HiveIcebergStorageHandler.java,83,60,4,4
HiveIcebergStorageHandlerStub.java,53,0,1,1
HiveIcebergStorageHandlerWithEngineBase.java,1,1,1,1
HiveJoinConstraintsRule.java,2,1,1,1
HiveMaterializedViewsRegistry.java,12,11,2,2
HiveMetaStoreClient.java,224,74,3,3
HiveMetaStoreClientPreCatalog.java,18,16,3,3
HivePrivilegeObject.java,6,0,1,1
HiveRelMdRowCount.java,2,1,1,1
HiveRelOptMaterialization.java,1,7,1,1
HiveRelOptUtil.java,14,0,1,1
HiveStatement.java,4,10,1,1
HiveTableName.java,1,1,1,1
HiveTableOperations.java,22,2,1,1
HiveTotalOrderPartitioner.java,0,3,1,1
HiveUtils.java,61,0,1,1
