Name,LinesAdded,LinesDeleted,CommitCount,DeveloperCount,BugFixCount,CumulativeDeveloperCount,AverageTimeBetweenChanges,CumulativeCommitCount,ChangedComments,UnchangedComments,CumulativeChangedComments,CumulativeUnchangedComments,CumulativeAverageTimeBetweenChanges,AverageExpertise,MinimumExpertise
CompactorTest.java,1,1,1,1,0,1,766110.0,1,0,1,0,1,766110.0,1.0,1
EncodedReaderImpl.java,2,2,1,1,1,1,961112.0,1,0,1,0,1,961112.0,1.0,1
HiveAlterHandler.java,6,3,1,1,0,1,17043.0,1,0,1,0,1,17043.0,1.0,1
MetaStoreDirectSql.java,7,1,1,1,0,1,687719.0,1,0,1,0,1,687719.0,1.0,1
OrcEncodedDataReader.java,6,0,1,1,1,1,961112.0,1,0,1,0,1,961112.0,1.0,1
OrcInputFormat.java,2,2,1,1,0,1,188.0,1,0,1,0,1,188.0,1.0,1
ReaderImpl.java,1,1,1,1,1,1,961112.0,1,0,1,0,1,961112.0,1.0,1
SerDeEncodedDataReader.java,5,0,1,1,1,1,961112.0,1,0,1,0,1,961112.0,1.0,1
StreamingTestUtils.java,2,2,1,1,0,1,766110.0,1,0,1,0,1,766110.0,1.0,1
TestAcidOnTez.java,2,3,1,1,0,1,766110.0,1,0,1,0,1,766110.0,1.0,1
TestCompactionTxnHandler.java,2,2,1,1,0,1,766110.0,1,0,1,0,1,766110.0,1.0,1
TestCompactor.java,2,2,1,1,0,1,766110.0,1,0,1,0,1,766110.0,1.0,1
TestDbTxnManager.java,14,14,1,1,0,1,766110.0,1,0,1,0,1,766110.0,1.0,1
TestDbTxnManager2.java,178,178,1,1,0,1,766110.0,1,0,1,0,1,766110.0,1.0,1
TestHiveMetaStoreTxns.java,2,2,1,1,0,1,766110.0,1,0,1,0,1,766110.0,1.0,1
TestIncrementalObjectSizeEstimator.java,6,0,1,1,1,1,961112.0,1,0,1,0,1,961112.0,1.0,1
TestInputOutputFormat.java,10,0,1,1,0,1,188.0,1,0,1,0,1,188.0,1.0,1
TestParseDriver.java,100,0,1,1,0,1,13.0,1,0,1,0,1,13.0,1.0,1
TestParseDriverIntervals.java,2,1,1,1,0,1,13.0,1,0,1,0,1,13.0,1.0,1
TestStreaming.java,2,2,1,1,0,1,766110.0,1,0,1,0,1,766110.0,1.0,1
TestTxnCommands.java,4,5,1,1,0,1,766110.0,1,0,1,0,1,766110.0,1.0,1
TestTxnCommands2.java,2,3,1,1,0,1,766110.0,1,0,1,0,1,766110.0,1.0,1
TestTxnHandler.java,2,2,1,1,0,1,766110.0,1,0,1,0,1,766110.0,1.0,1
TestTxnHandlerNoConnectionPool.java,3,3,1,1,0,1,766110.0,1,0,1,0,1,766110.0,1.0,1
TestTxnUtils.java,3,4,1,1,0,1,766110.0,1,0,1,0,1,766110.0,1.0,1
TxnDbUtil.java,14,15,1,1,0,1,766110.0,1,0,1,0,1,766110.0,1.0,1
TxnHandler.java,1,1,1,1,0,1,766110.0,1,0,1,0,1,766110.0,1.0,1
VectorizedOrcInputFormat.java,1,1,1,1,0,1,188.0,1,0,1,0,1,188.0,1.0,1
