Name,LinesAdded,LinesDeleted,CommitCount,DeveloperCount,BugFixCount,CumulativeDeveloperCount,AverageTimeBetweenChanges,CumulativeCommitCount,ChangedComments,UnchangedComments,CumulativeChangedComments,CumulativeUnchangedComments,CumulativeAverageTimeBetweenChanges,AverageExpertise,MinimumExpertise
ACIDBenchmarks.java,265,0,2,2,0,2,60444.5,2,0,2,0,2,60444.5,1.0,1
AMReporter.java,28,14,3,2,0,2,97273.66666666667,3,1,2,1,2,97273.66666666667,1.5,1
ANTLRNoCaseStringStream.java,55,0,1,1,0,1,14967.0,1,0,1,0,1,14967.0,1.0,1
ASTBuilder.java,130,57,16,13,1,13,74808.0,16,0,16,0,16,74808.0,1.2307692307692308,1
ASTConverter.java,566,197,24,16,2,16,25178.25,24,0,24,0,24,25178.25,1.5,1
ASTErrorNode.java,49,49,2,1,0,1,32173.0,2,0,2,0,2,32173.0,2.0,2
ASTErrorUtils.java,106,0,1,1,0,1,6.0,1,0,1,0,1,6.0,1.0,1
ASTNode.java,444,390,8,7,1,7,41064.875,8,0,8,0,8,41064.875,1.1428571428571428,1
ASTNodeOrigin.java,103,99,4,3,0,3,36036.25,4,0,4,0,4,36036.25,1.3333333333333333,1
ATSHook.java,21,500,7,6,0,6,7181.0,7,0,7,0,7,7181.0,1.1666666666666667,1
AWSSecretsManagerSecretSource.java,109,0,1,1,0,1,7439.0,1,0,1,0,1,7439.0,1.0,1
AWSSecretsManagerSecretSourceTest.java,74,0,1,1,0,1,7439.0,1,0,1,0,1,7439.0,1.0,1
AbortCompactResponse.java,479,48,3,3,0,3,45974.0,3,0,3,0,3,45974.0,1.0,1
AbortCompactionFunction.java,188,0,1,1,0,1,24153.0,1,0,1,0,1,24153.0,1.0,1
AbortCompactionRequest.java,664,32,3,3,0,3,45974.0,3,0,3,0,3,45974.0,1.0,1
AbortCompactionResponseElement.java,585,8,2,1,0,1,165490.0,2,0,2,0,2,165490.0,2.0,2
AbortCompactionsAnalyzer.java,51,0,1,1,0,1,1151.0,1,0,1,0,1,1151.0,1.0,1
