Name,LinesAdded,LinesDeleted,CommitCount,DeveloperCount
AbortTxnsRequest.java,16,16,1,1
AddDynamicPartitions.java,16,16,1,1
AddToClassPathAction.java,92,0,1,1
ClearFileMetadataRequest.java,16,16,1,1
ClientCapabilities.java,16,16,1,1
Commands.java,1,1,1,1
CompactionRequest.java,22,22,1,1
DummyRawStoreControlledCommit.java,7,1,1,1
DummyRawStoreFailEvent.java,7,0,1,1
DummyRawStoreForJdoConnection.java,7,1,1,1
ExecDriver.java,6,1,1,1
ExecMapper.java,1,13,1,1
ExecReducer.java,1,15,1,1
FireEventRequest.java,16,16,1,1
Function.java,18,18,1,1
FunctionLocalizer.java,11,7,1,1
GetAllFunctionsResponse.java,18,18,1,1
GetFileMetadataByExprRequest.java,16,16,1,1
GetFileMetadataByExprResult.java,24,24,1,1
GetFileMetadataRequest.java,16,16,1,1
GetFileMetadataResult.java,22,22,1,1
GetOpenTxnsInfoResponse.java,18,18,1,1
GetOpenTxnsResponse.java,16,16,1,1
GetTablesRequest.java,16,16,1,1
GetTablesResult.java,18,18,1,1
HBaseStore.java,10,0,1,1
HeartbeatTxnRangeResponse.java,32,32,1,1
HiveMetaStore.java,11,0,1,1
HiveMetaStoreClient.java,6,0,1,1
IMetaStoreClient.java,5,1,1,1
InsertEventRequestData.java,32,32,1,1
JavaUtils.java,8,49,1,1
LockRequest.java,18,18,1,1
MetaStoreUtils.java,17,4,1,1
NotificationEventResponse.java,18,18,1,1
ObjectStore.java,246,0,1,1
OpenTxnsResponse.java,16,16,1,1
PartitionValuesRequest.java,1222,0,1,1
PartitionValuesResponse.java,443,0,1,1
PartitionValuesRow.java,438,0,1,1
PutFileMetadataRequest.java,32,32,1,1
RawStore.java,6,1,1,1
RecordProcessor.java,2,15,1,1
SessionState.java,18,14,1,1
ShowCompactResponse.java,18,18,1,1
ShowLocksResponse.java,18,18,1,1
SparkClientUtilities.java,20,3,1,1
SparkRecordHandler.java,2,12,1,1
TestAddToClassPathAction.java,145,0,1,1
TestClassNameCompleter.java,2,2,1,1
ThriftHiveMetastore.cpp,1470,1027,1,1
ThriftHiveMetastore.java,3649,2556,1,1
ThriftHiveMetastore_server.skeleton.cpp,5,0,1,1
Utilities.java,45,55,1,1
hive_metastore_types.cpp,1423,926,1,1
