Name,LinesAdded,LinesDeleted,CommitCount,DeveloperCount
ASTConverter.java,14,5,1,1
AbstractHiveService.java,1,1,1,1
AbstractRecordWriter.java,44,17,1,1
AcidOpenTxnsCounterService.java,7,1,1,1
AcidUtils.java,54,8,2,1
AppConfig.java,31,55,4,2
AvroDeserializer.java,20,2,1,1
AvroSerdeUtils.java,32,7,1,1
BaseWork.java,10,0,1,1
BeeLine.java,35,2,2,2
BinarySortableDeserializeRead.java,41,24,1,1
BuddyAllocator.java,1,1,1,1
BytesBytesMultiHashMap.java,20,43,2,2
CLIServiceRestoreTest.java,4,1,1,1
CLIServiceTest.java,3,0,1,1
CalcitePlanner.java,36,21,7,2
ChainFilterFactory.java,78,0,1,1
CheckFastHashTable.java,12,7,1,1
CheckFastRowHashMap.java,387,0,1,1
ColAndCol.java,3,0,1,1
ColOrCol.java,3,0,1,1
ColumnBuffer.java,7,2,1,1
ColumnVectorProducer.java,3,2,1,1
CommandProcessorFactory.java,2,0,1,1
Commands.java,72,36,2,2
CompactionInfo.java,1,0,1,1
CompactionTxnHandler.java,4,0,1,1
CompactorMR.java,6,2,1,1
ConstantVectorExpression.java,4,4,1,1
Context.java,10,0,1,1
ConvertAstToSearchArg.java,4,4,1,1
ConvertTreeReaderFactory.java,210,158,4,2
Credentials.java,41,0,1,1
CustomPartitionVertex.java,1,1,1,1
CustomQueryFilterFactory.java,84,0,1,1
DDLSemanticAnalyzer.java,0,1,1,1
DDLTask.java,14,1,1,1
DagUtils.java,93,1,1,1
DateParser.java,17,0,1,1
DbNotificationListener.java,11,4,2,2
DbTxnManager.java,97,17,3,3
DelimitedInputWriter.java,37,10,1,1
DeserializeRead.java,5,1,1,1
DfsProcessor.java,1,1,1,1
DirSearch.java,52,0,1,1
DirSearchFactory.java,37,0,1,1
Driver.java,514,196,7,7
EncodedReaderImpl.java,5,11,1,1
EncodedTreeReaderFactory.java,22,9,1,1
ErrorMsg.java,2,0,1,1
EvictionDispatcher.java,2,2,1,1
ExecDriver.java,5,1,1,1
ExecuteStatementOperation.java,1,1,1,1
ExprNodeDescUtils.java,5,1,1,1
ExprWalkerInfo.java,12,0,1,1
ExprWalkerProcFactory.java,4,3,1,1
ExternalCache.java,18,21,1,1
FSStatsPublisher.java,8,1,1,1
FakeDerby.java,424,0,1,1
FetchOperator.java,4,0,1,1
FetchTask.java,3,1,1,1
FetchWork.java,14,0,1,1
FileMetaInfo.java,0,64,1,1
FileOutputCommitterContainer.java,32,32,1,1
FileSinkDesc.java,23,0,2,2
FileSinkOperator.java,24,20,5,3
FileUtils.java,21,8,2,2
Filter.java,36,0,1,1
FilterFactory.java,33,0,1,1
FilterStringColLikeStringScalar.java,2,1,1,1
GenMapRedUtils.java,8,8,1,1
GenTezUtils.java,2,1,1,1
GetOpenTxnsResponse.java,104,1,1,1
GroupFilterFactory.java,90,0,1,1
