Name,LinesAdded,LinesDeleted,CommitCount,DeveloperCount
AMReporter.java,31,32,3,3
ASTBuilder.java,50,8,6,4
ASTConverter.java,105,20,5,4
ASTNode.java,137,53,4,4
ATSHook.java,14,12,5,4
AbortTxnRequest.java,6,6,2,2
AbortTxnsDesc.java,36,0,1,1
AbortTxnsRequest.java,454,16,2,2
AbstractBucketJoinProc.java,4,4,2,2
AbstractCorrelationProcCtx.java,20,1,1,1
AbstractFileMergeOperator.java,56,18,5,4
AbstractFilterStringColLikeStringScalar.java,273,65,3,2
AbstractHBaseKeyFactory.java,3,3,1,1
AbstractHiveAuthorizer.java,41,0,1,1
AbstractMapJoinOperator.java,8,1,1,1
AbstractMapOperator.java,356,0,2,2
AbstractOperatorDesc.java,6,9,3,3
AbstractParquetMapInspector.java,4,4,2,2
AbstractSMBJoinProc.java,10,10,5,4
AbstractSerDe.java,2,2,2,2
AbstractService.java,3,3,3,1
AbstractTestAuthorizationApiAuthorizer.java,1,1,1,1
AccumuloPredicateHandler.java,6,6,3,3
AccumuloQTestUtil.java,2,2,2,2
AcidCompactionHistoryService.java,101,12,4,3
AcidEventListener.java,188,0,2,2
AcidHouseKeeperService.java,36,52,4,3
AcidOpenTxnsCounterService.java,69,0,1,1
AcidStats.java,60,0,1,1
AcidUtils.java,158,89,11,6
AcidWriteSetService.java,139,0,3,3
AddDynamicPartitions.java,212,87,8,6
AddForeignKeyRequest.java,443,0,1,1
AddPartitionsRequest.java,62,62,5,4
AddPartitionsResult.java,58,58,5,4
AddPrimaryKeyRequest.java,443,0,1,1
Adjacency.java,4,4,2,2
AdjacencyType.java,2,2,2,2
AggrStats.java,6,6,2,2
AggregationDesc.java,0,8,2,2
AlreadyExistsException.java,4,4,2,2
AlterHandler.java,4,26,1,1
AlterTableDesc.java,103,5,4,3
AlterTableSimpleDesc.java,8,0,1,1
AnalyzeCommandUtils.java,57,0,1,1
AnnotateWithOpTraits.java,2,2,2,2
AnnotateWithStatistics.java,2,2,2,2
AppConfig.java,3,0,2,2
AppMasterEventOperator.java,12,6,3,3
ArrayWritableObjectInspector.java,4,4,2,2
Attr.java,0,39,1,1
AuthenticationProviderFactory.java,18,6,2,2
AuthorizationMetaStoreFilterHook.java,6,5,4,4
AuthorizationTestUtil.java,14,14,2,2
AuthorizationUtils.java,18,82,2,2
AvroDeserializer.java,2,2,2,2
AvroSerdeUtils.java,38,2,2,2
BaseMaskUDF.java,946,0,2,2
BaseScalarUdfTest.java,2,1,1,1
BaseSemanticAnalyzer.java,518,68,16,7
BaseWork.java,49,1,5,4
BeeLine.java,58,66,10,9
