Name,LinesAdded,LinesDeleted,CommitCount,DeveloperCount,BugFixCount,CumulativeDeveloperCount,AverageTimeBetweenChanges,CumulativeCommitCount,ChangedComments,UnchangedComments,CumulativeChangedComments,CumulativeUnchangedComments,CumulativeAverageTimeBetweenChanges,AverageExpertise,MinimumExpertise
AuthorizationPreEventListener.java,38,0,1,1,0,1,217520.0,1,0,1,0,1,217520.0,1.0,1
AvroDeserializer.java,3,3,1,1,0,1,8076427.0,1,0,1,0,1,8076427.0,1.0,1
AvroGenericRecordReader.java,30,14,2,1,1,1,2885740.5,2,0,2,0,2,2885740.5,2.0,2
AvroSerdeUtils.java,20,6,2,2,0,2,6602957.5,2,0,2,0,2,6602957.5,1.0,1
Cleaner.java,3,3,1,1,0,1,2470860.0,1,0,1,0,1,2470860.0,1.0,1
CliConfigs.java,1,0,1,1,1,1,6.0,1,0,1,0,1,6.0,1.0,1
CompactorMR.java,21,11,2,2,0,2,928586.5,2,0,2,0,2,928586.5,1.0,1
CompileProcessor.java,45,8,1,1,0,1,934.0,1,0,1,0,1,934.0,1.0,1
CookieSigner.java,1,1,1,1,1,1,2434.0,1,0,1,0,1,2434.0,1.0,1
DDLTask.java,28,25,2,1,0,1,1803162.0,2,0,2,0,2,1803162.0,2.0,2
FunctionRegistry.java,2,0,1,1,0,1,819622.0,1,0,1,0,1,819622.0,1.0,1
GenericUDFDatetimeLegacyHybridCalendar.java,137,0,1,1,0,1,819622.0,1,0,1,0,1,819622.0,1.0,1
Hive.java,7,0,1,1,0,1,1671055.0,1,0,1,0,1,1671055.0,1.0,1
HiveConf.java,3,0,1,1,0,1,404391.0,1,0,1,0,1,404391.0,1.0,1
HiveMetaStore.java,13,2,1,1,0,1,217520.0,1,0,1,0,1,217520.0,1.0,1
HiveMetaStoreClient.java,2,2,1,1,0,1,1962139.0,1,0,1,0,1,1962139.0,1.0,1
HiveServer2.java,15,13,2,2,0,2,4021169.0,2,0,2,0,2,4021169.0,1.0,1
