Name,LinesAdded,LinesDeleted,CommitCount,DeveloperCount
ACLConfigurationParser.java,167,0,1,1
AMReporter.java,208,120,7,4
ASTBuilder.java,92,49,6,3
ASTConverter.java,143,48,6,3
ASTNode.java,8,9,2,1
ATSHook.java,364,113,12,6
AbstractCliConfig.java,439,1,3,2
AbstractCoreBlobstoreCliDriver.java,192,12,5,3
AbstractExpression.java,19,1,1,1
AbstractFilterStringColLikeStringScalar.java,21,31,7,3
AbstractHBaseKeyFactory.java,3,3,1,1
AbstractHCatLoaderTest.java,1492,746,3,1
AbstractHCatStorerTest.java,1100,4,2,2
AbstractHiveService.java,160,160,3,2
AbstractJoinTaskDispatcher.java,4,3,1,1
AbstractMapJoinOperator.java,1,1,1,1
AbstractMapOperator.java,7,6,2,2
AbstractOperatorDesc.java,59,24,7,3
AbstractRecordWriter.java,84,47,4,3
AbstractSerDe.java,1,1,1,1
AbstractService.java,1,1,1,1
AbstractTestPhase.java,2,1,1,1
AbstractVectorDesc.java,45,33,6,2
AccumuloPredicateHandler.java,2,2,1,1
AccumuloQTestUtil.java,9,3,1,1
AccumuloSerDe.java,2,2,1,1
AccumuloStorageHandler.java,2,2,1,1
AccumuloTestSetup.java,20,7,2,2
AcidOpenTxnsCounterService.java,7,1,1,1
AcidOutputFormat.java,20,5,1,1
AcidStats.java,0,60,1,1
AcidUtils.java,517,75,7,3
AddDynamicPartitions.java,16,16,1,1
AddPartitionDesc.java,22,0,1,1
AddPartitionMessage.java,66,0,3,3
AggregateDefinition.java,7,6,1,1
AggregationDesc.java,7,0,1,1
Allocator.java,13,3,1,1
AlterHandler.java,102,14,1,1
AlterIndexMessage.java,63,0,3,3
AlterPartitionMessage.java,65,0,2,2
AlterTableMessage.java,54,0,2,2
AlterTableSimpleDesc.java,18,1,2,2
AnnotateReduceSinkOutputOperator.java,73,0,1,1
AnnotateRunTimeStatsOptimizer.java,174,0,1,1
AppConfig.java,54,40,4,4
AppMasterEventDesc.java,72,48,5,1
ArchiveUtils.java,2,7,2,2
Arguments.java,4,4,2,1
ArrayWritableObjectInspector.java,114,34,3,1
AuthorizationMetaStoreFilterHook.java,2,1,1,1
AuthorizationPreEventListener.java,2,0,1,1
AuthorizationTestUtil.java,1,1,1,1
AvroDeserializer.java,21,3,2,2
AvroGenericRecordReader.java,9,8,2,2
AvroSerDe.java,9,4,2,2
AvroSerdeUtils.java,61,10,4,4
BasePartitionEvaluator.java,555,52,2,1
BaseSemanticAnalyzer.java,116,45,9,7
BaseWork.java,612,408,8,3
BatchToRowInputFormat.java,31,0,1,1
BatchToRowReader.java,623,0,1,1
BeeLine.java,452,244,18,9
BeeLineOpts.java,48,13,9,7
BeeLineSignalHandler.java,0,1,1,1
BeelineHS2ConnectionFileParseException.java,30,0,1,1
BeelineInPlaceUpdateStream.java,104,4,3,2
BeelineWithHS2ConnectionFileTestBase.java,218,0,1,1
BinaryColumnStatistics.java,0,27,1,1
BinarySortableDeserializeRead.java,204,137,4,1
BinarySortableSerDe.java,124,19,2,2
BinarySortableSerializeWrite.java,25,1,1,1
BitFieldReader.java,0,217,1,1
BitFieldWriter.java,0,73,1,1
BlobStorageUtils.java,66,2,2,1
BloomFilter.java,93,2,3,2
BloomFilterIO.java,0,43,1,1
BooleanColumnStatistics.java,0,29,1,1
BoundaryDef.java,47,9,1,1
BucketingSortingReduceSinkOptimizer.java,5,5,2,1
BucketizedHiveInputFormat.java,1,2,1,1
BuddyAllocator.java,175,52,8,3
BufferChunk.java,0,85,1,1
BufferedRows.java,24,4,2,2
BytesBytesMultiHashMap.java,28,45,3,2
BytesColumnVector.java,115,18,4,4
CLIService.java,103,49,8,5
CLIServiceClient.java,12,5,2,2
CLIServiceRestoreTest.java,4,1,1,1
CLIServiceTest.java,20,16,4,3
CacheChunk.java,6,1,2,1
CalcitePlanner.java,1427,576,42,12
CalciteSemanticException.java,6,6,3,2
CalciteSubquerySemanticException.java,52,0,1,1
CalciteViewSemanticException.java,52,0,1,1
CastBooleanToCharViaLongToChar.java,15,10,5,1
CastBooleanToVarCharViaLongToVarChar.java,15,10,5,1
CastDateToChar.java,12,8,5,1
CastDateToVarChar.java,15,10,5,1
CastDecimalToBoolean.java,6,1,1,1
CastDecimalToChar.java,17,12,6,1
CastDecimalToDecimal.java,15,10,5,1
CastDecimalToDouble.java,1,1,1,1
CastDecimalToLong.java,44,2,2,2
CastDecimalToString.java,12,11,1,1
CastDecimalToTimestamp.java,10,1,1,1
CastDecimalToVarChar.java,17,12,6,1
CastDoubleToDecimal.java,7,3,1,1
CastDoubleToTimestamp.java,15,10,5,1
CastLongToChar.java,15,10,5,1
CastLongToDate.java,15,10,5,1
CastLongToTimestamp.java,15,10,5,1
CastLongToVarChar.java,15,10,5,1
CastMillisecondsLongToTimestamp.java,15,10,5,1
CastStringGroupToChar.java,12,8,5,1
CastStringGroupToVarChar.java,15,10,5,1
CastStringToDate.java,35,30,7,3
CastStringToDecimal.java,15,10,5,1
CastStringToIntervalDayTime.java,15,10,5,1
CastStringToIntervalYearMonth.java,15,10,5,1
CastStringToLong.java,271,0,1,1
CastTimestampToBoolean.java,19,16,5,1
CastTimestampToDouble.java,15,10,5,1
CastTimestampToLong.java,19,16,5,1
ChainFilterFactory.java,78,0,1,1
ChannelOutputStream.java,67,25,2,1
CheckFastHashTable.java,12,7,1,1
CheckFastRowHashMap.java,426,23,5,2
CheckResult.java,42,42,3,2
ClassNameCompleter.java,31,23,1,1
ClassicTableTypeMapping.java,5,0,1,1
ClearDanglingScratchDir.java,148,85,3,1
ClearFileMetadataRequest.java,32,32,2,2
CliAdapter.java,107,0,1,1
CliConfigs.java,614,59,14,7
CliDriver.java,53,8,4,2
CliOptionsProcessor.java,4,4,2,1
ClientCapabilities.java,457,16,2,2
ClientCapability.java,42,0,1,1
ClientCommandHookFactory.java,84,18,1,1
CloudComputeService.java,186,38,1,1
CloudExecutionContextProvider.java,83,22,1,1
CodahaleMetrics.java,83,46,3,2
ColAndCol.java,733,728,11,2
ColOrCol.java,742,737,11,2
ColumnBasedSet.java,1,1,1,1
ColumnBuffer.java,36,20,2,2
ColumnInfo.java,4,3,1,1
ColumnProjectionUtils.java,65,13,2,2
ColumnPruner.java,7,6,1,1
ColumnPrunerProcCtx.java,262,205,4,2
ColumnPrunerProcFactory.java,156,136,3,3
ColumnStatistics.java,0,36,1,1
ColumnStatisticsImpl.java,27,1124,2,2
ColumnStatsAutoGatherContext.java,7,6,2,2
ColumnStatsSemanticAnalyzer.java,45,12,5,2
ColumnStatsTask.java,25,6,3,1
ColumnStatsUpdateTask.java,9,5,1,1
ColumnTruncateTask.java,3,3,3,2
ColumnTruncateWork.java,1,4,1,1
ColumnValue.java,0,7,1,1
ColumnVector.java,15,3,2,2
ColumnVectorProducer.java,19,8,5,3
ColumnarSerDe.java,2,2,1,1
ColumnarSplitSizeEstimator.java,4,2,1,1
ColumnarStorageBench.java,74,14,4,4
CombineEquivalentWorkResolver.java,25,0,1,1
CombineHiveInputFormat.java,48,34,3,3
CombineHiveRecordReader.java,64,3,2,2
CommandProcessorFactory.java,7,0,2,2
CommandUtil.java,3,2,1,1
Commands.java,355,148,14,8
CommonFastHashTable.java,2,2,1,1
CommonJoinOperator.java,252,71,7,5
CommonJoinTaskDispatcher.java,16,13,2,2
CommonMergeJoinOperator.java,17,3,3,2
CompactionInfo.java,18,13,2,2
CompactionRequest.java,162,4,1,1
CompactionResponse.java,583,0,1,1
CompactionTxnHandler.java,78,14,5,2
CompactorMR.java,176,96,11,2
CompactorTest.java,7,4,1,1
CompressionCodec.java,0,69,1,1
CompressionKind.java,0,27,1,1
ConcurrentJobRequestsTestBase.java,231,0,1,1
ConditionalResolverCommonJoin.java,12,11,1,1
ConditionalResolverMergeFiles.java,7,8,2,2
ConstantPropagateProcCtx.java,1,1,1,1
ConstantPropagateProcFactory.java,15,10,2,2
ConstantVectorExpression.java,103,70,6,2
Constants.java,71,2,7,6
ConsumerFileMetadata.java,31,0,1,1
ConsumerStripeMetadata.java,35,0,1,1
ContainerRunnerImpl.java,241,107,19,4
Context.java,270,81,10,7
ContribNegativeCliDriver.java,62,0,1,1
ConvertAstToSearchArg.java,48,28,4,4
ConvertJoinMapJoin.java,262,84,8,6
ConvertTreeReaderFactory.java,271,3111,8,4
Converters.java,31,26,3,2
Copy.java,22,10,1,1
CoreAccumuloCliDriver.java,122,12,4,4
CoreBeeLineDriver.java,293,118,3,2
CoreBlobstoreCliDriver.java,29,0,1,1
CoreBlobstoreNegativeCliDriver.java,29,0,1,1
CoreCliDriver.java,226,31,6,4
CoreCompareCliDriver.java,170,12,3,3
CoreDummy.java,57,0,1,1
CoreHBaseCliDriver.java,146,9,3,3
CoreHBaseNegativeCliDriver.java,130,9,3,3
CoreNegativeCliDriver.java,151,12,3,3
CoreParseNegative.java,161,32,4,4
CorePerfCliDriver.java,152,13,4,4
CreateDatabaseMessage.java,28,0,1,1
CreateFunctionEvent.java,39,0,1,1
CreateFunctionMessage.java,76,0,3,3
CreateIndexMessage.java,76,0,3,3
CreateTableDesc.java,28,5,3,3
CreateTableMessage.java,52,1,3,3
CreateViewDesc.java,129,16,4,3
Credentials.java,41,0,1,1
CuckooSetBytes.java,2,2,1,1
