Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,CountDeclFileCode,CountDeclFileHeader,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethodConst,CountDeclMethodFriend,CountLineInactive,CountLinePreprocessor,CountStmtEmpty,CountCCViol,CountCCViolType,CCViolDensityLine,CCViolDensityCode,BugStatus,Priority
ACLConfigurationParser.java,11.0,0.0,11.0,0.0,3.0,1.0,12.0,12.0,0.0,1.0,0.0,3.0,10.0,0.0,10.0,10.0,2.0,10.0,10.0,0.0,3.0,0.0,7.0,38.0,167.0,22.0,125.0,38.0,70.0,20.0,32.0,57.0,89.0,37.0,58.0,28.0,11.0,1.0,3.0,45.0,35.0,"0,16",29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
AMReporter.java,12.0,0.0,11.0,1.0,2.0,3.0,44.0,44.0,0.0,9.0,0.0,1.0,35.0,0.0,35.0,35.0,31.0,35.0,11.0,10.0,1.0,3.0,21.0,61.0,563.0,70.0,439.0,161.0,227.0,54.0,48.0,208.0,288.0,143.0,170.0,21.0,7.0,2.0,4.0,22.666666666666668,22.666666666666668,"0,12",68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
ASTBuilder.java,16.0,1.0,15.0,1.0,5.0,1.0,23.0,23.0,0.0,1.0,14.0,0.0,18.0,0.0,18.0,4.0,1.0,18.0,18.0,0.0,0.0,0.0,18.0,192.0,351.0,32.0,292.0,64.0,214.0,27.0,90.0,133.0,165.0,60.0,120.0,90.0,64.0,1.0,2.0,72.0,6.0,"0,09",90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",1,3
ASTConverter.java,18.0,1.0,15.0,2.0,4.0,1.0,46.0,46.0,0.0,7.0,2.0,2.0,38.0,0.0,38.0,36.0,24.0,38.0,10.0,11.0,9.0,2.0,16.0,74.0,870.0,99.0,673.0,242.0,412.0,98.0,119.0,354.0,524.0,249.0,345.0,53.0,21.0,1.0,5.0,83.0,63.0,"0,15",144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
ASTErrorNode.java,2.0,0.0,2.0,0.0,1.0,1.0,6.0,6.0,0.0,1.0,0.0,1.0,5.0,0.0,5.0,5.0,1.0,5.0,31.0,0.0,0.0,0.0,5.0,4.0,49.0,8.0,21.0,18.0,6.0,20.0,8.0,12.0,18.0,13.0,5.0,4.0,1.0,3.0,0.0,0.0,0.0,"0,95",5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
ASTNode.java,10.0,1.0,8.0,1.0,2.0,3.0,12.0,12.0,1.0,1.0,0.0,1.0,26.0,0.0,26.0,26.0,7.0,26.0,26.0,0.0,8.0,0.0,18.0,215.0,349.0,52.0,240.0,75.0,133.0,57.0,91.0,123.0,178.0,67.0,129.0,55.0,11.0,2.0,4.0,88.0,71.0,"0,24",58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
ASTNodeOrigin.java,7.0,0.0,4.0,3.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,6.0,0.0,6.0,6.0,5.0,6.0,6.0,0.0,0.0,0.0,6.0,11.0,95.0,9.0,31.0,14.0,10.0,55.0,5.0,16.0,23.0,13.0,10.0,5.0,1.0,1.0,0.0,67.0,67.0,"1,77",6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
ATSHook.java,19.0,1.0,16.0,2.0,2.0,6.0,81.0,81.0,0.0,10.0,1.0,11.0,25.0,0.0,15.0,24.0,29.0,25.0,15.0,3.0,4.0,2.0,16.0,123.0,478.0,47.0,386.0,146.0,255.0,54.0,152.0,228.0,290.0,138.0,204.0,55.0,10.0,2.0,4.0,16.4,15.0,"0,14",56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
AbortDroneException.java,3.0,0.0,3.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,29.0,1.0,10.0,5.0,3.0,18.0,0.0,4.0,7.0,5.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,"1,80",2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
AbortTxnRequest.java,7.0,0.0,6.0,1.0,2.0,5.0,36.0,36.0,0.0,6.0,3.0,6.0,38.0,0.0,36.0,35.0,5.0,38.0,24.0,1.0,2.0,0.0,35.0,68.0,387.0,64.0,297.0,104.0,144.0,29.0,55.0,139.0,207.0,91.0,124.0,47.0,5.0,1.0,3.0,71.0,44.0,"0,10",61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
