Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,CountDeclFileCode,CountDeclFileHeader,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethodConst,CountDeclMethodFriend,CountLineInactive,CountLinePreprocessor,CountStmtEmpty,CountCCViol,CountCCViolType,CCViolDensityLine,CCViolDensityCode,BugStatus,Priority
UDFTestLength2.java,6.0,0.0,6.0,0.0,2.0,1.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,7.0,0.0,0.0,0.0,1.0,1.0,38.0,4.0,13.0,7.0,3.0,21.0,3.0,5.0,8.0,5.0,3.0,2.0,2.0,2.0,1.0,0.0,0.0,"1,62",2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
UDFToBoolean.java,11.0,0.0,7.0,4.0,2.0,1.0,21.0,21.0,0.0,1.0,0.0,0.0,13.0,0.0,13.0,13.0,1.0,13.0,19.0,0.0,0.0,0.0,13.0,19.0,232.0,18.0,136.0,66.0,50.0,78.0,38.0,60.0,83.0,44.0,42.0,21.0,2.0,2.0,1.0,31.0,31.0,"0,57",22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
UDFToByte.java,13.0,0.0,8.0,5.0,2.0,1.0,21.0,21.0,0.0,1.0,0.0,0.0,12.0,0.0,12.0,12.0,1.0,12.0,18.0,0.0,0.0,0.0,12.0,18.0,232.0,15.0,137.0,58.0,57.0,80.0,38.0,57.0,82.0,38.0,46.0,24.0,4.0,2.0,2.0,25.0,25.0,"0,58",25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
UDFToDouble.java,13.0,0.0,8.0,5.0,2.0,1.0,20.0,20.0,0.0,1.0,0.0,0.0,12.0,0.0,12.0,12.0,1.0,12.0,18.0,0.0,0.0,0.0,12.0,19.0,233.0,14.0,138.0,56.0,58.0,81.0,38.0,55.0,80.0,36.0,45.0,24.0,4.0,2.0,2.0,25.0,25.0,"0,59",25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
UDFToFloat.java,13.0,0.0,8.0,5.0,2.0,1.0,20.0,20.0,0.0,1.0,0.0,0.0,12.0,0.0,12.0,12.0,1.0,12.0,18.0,0.0,0.0,0.0,12.0,19.0,234.0,15.0,138.0,56.0,58.0,81.0,38.0,55.0,80.0,36.0,45.0,24.0,4.0,2.0,2.0,25.0,25.0,"0,59",25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
UDFToInteger.java,14.0,0.0,8.0,6.0,2.0,1.0,23.0,23.0,0.0,1.0,0.0,0.0,13.0,0.0,13.0,13.0,1.0,13.0,19.0,0.0,0.0,0.0,13.0,21.0,260.0,17.0,150.0,63.0,64.0,93.0,43.0,63.0,90.0,42.0,51.0,26.0,4.0,2.0,2.0,23.0,23.0,"0,62",27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
UDFToLong.java,12.0,0.0,7.0,5.0,2.0,1.0,21.0,21.0,0.0,1.0,0.0,0.0,13.0,0.0,13.0,13.0,1.0,13.0,19.0,0.0,0.0,0.0,13.0,19.0,239.0,16.0,136.0,57.0,55.0,87.0,39.0,55.0,80.0,37.0,44.0,24.0,4.0,2.0,2.0,31.0,31.0,"0,64",25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
UDFToShort.java,13.0,0.0,8.0,5.0,2.0,1.0,21.0,21.0,0.0,1.0,0.0,0.0,12.0,0.0,12.0,12.0,1.0,12.0,18.0,0.0,0.0,0.0,12.0,18.0,234.0,16.0,138.0,58.0,58.0,80.0,37.0,57.0,82.0,38.0,46.0,24.0,4.0,2.0,2.0,25.0,25.0,"0,58",25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
UDFType.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,6.0,97.0,8.0,21.0,20.0,0.0,68.0,6.0,14.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"3,24",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
UDFUUID.java,9.0,0.0,4.0,5.0,1.0,1.0,4.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,7.0,0.0,0.0,0.0,1.0,2.0,51.0,4.0,21.0,17.0,3.0,26.0,4.0,8.0,10.0,8.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,"1,24",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
