Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,CountDeclFileCode,CountDeclFileHeader,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethodConst,CountDeclMethodFriend,CountLineInactive,CountLinePreprocessor,CountStmtEmpty,CountCCViol,CountCCViolType,CCViolDensityLine,CCViolDensityCode,BugStatus,Priority,LinesAdded,LinesDeleted,CommitCount,DeveloperCount,BugFixCount,CumulativeDeveloperCount,AverageTimeBetweenChanges,CumulativeCommitCount,ChangedComments,UnchangedComments,CumulativeChangedComments,CumulativeUnchangedComments,CumulativeAverageTimeBetweenChanges,AverageExpertise,MinimumExpertise
TestReplAcrossInstancesWithJsonMessageFormat.java,10.0,0.0,10.0,0.0,1.0,1.0,17.0,17.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,1.0,1.0,2.0,73.0,0.0,0.0,0.0,2.0,8.0,60.0,7.0,36.0,21.0,13.0,17.0,10.0,22.0,25.0,17.0,9.0,2.0,1.0,3.0,0.0,50.0,50.0,"0,47",2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",1.0,3.0,62.0,2.0,5.0,5.0,1.0,5.0,19883.0,5.0,1.0,4.0,1.0,4.0,19883.0,1.0,1.0
TestReplChangeManager.java,29.0,2.0,25.0,2.0,2.0,1.0,47.0,47.0,0.0,1.0,4.0,10.0,18.0,0.0,18.0,11.0,0.0,15.0,15.0,0.0,6.0,0.0,9.0,102.0,591.0,65.0,487.0,196.0,368.0,44.0,226.0,360.0,393.0,176.0,314.0,37.0,4.0,1.0,3.0,75.0,69.0,"0,09",37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0.0,0.0,303.0,54.0,10.0,7.0,1.0,7.0,108023.6,10.0,0.0,10.0,0.0,10.0,108023.6,1.4285714285714286,1.0
TestReplDumpTask.java,7.0,1.0,7.0,0.0,1.0,2.0,34.0,34.0,0.0,4.0,0.0,1.0,13.0,0.0,13.0,9.0,5.0,9.0,164.0,7.0,0.0,1.0,1.0,18.0,157.0,26.0,114.0,64.0,41.0,17.0,39.0,62.0,77.0,53.0,29.0,8.0,2.0,4.0,2.0,25.0,25.0,"0,15",14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",1.0,2.0,259.0,102.0,19.0,11.0,1.0,11.0,28896.78947368421,19.0,1.0,18.0,1.0,18.0,28896.78947368421,1.7272727272727273,1.0
TestReplIncrementalLoadAcidTablesWithJsonMessage.java,6.0,0.0,6.0,0.0,1.0,1.0,14.0,14.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,1.0,1.0,2.0,19.0,0.0,0.0,0.0,2.0,3.0,54.0,8.0,29.0,21.0,6.0,17.0,8.0,17.0,20.0,16.0,5.0,2.0,1.0,2.0,0.0,50.0,50.0,"0,59",2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",1.0,3.0,56.0,2.0,3.0,3.0,0.0,3.0,29631.0,3.0,0.0,3.0,0.0,3.0,29631.0,1.0,1.0
TestReplScenariosWithStrictManaged.java,12.0,0.0,10.0,1.0,1.0,1.0,11.0,11.0,0.0,1.0,1.0,0.0,3.0,0.0,3.0,2.0,0.0,3.0,9.0,0.0,0.0,0.0,3.0,10.0,71.0,7.0,40.0,15.0,22.0,24.0,7.0,15.0,19.0,12.0,8.0,3.0,1.0,2.0,0.0,0.0,0.0,"0,60",3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0.0,0.0,71.0,0.0,1.0,1.0,0.0,1.0,13799.0,1.0,0.0,1.0,0.0,1.0,13799.0,1.0,1.0
TestReplStateLogTimeFormat.java,11.0,0.0,11.0,0.0,2.0,2.0,17.0,17.0,0.0,2.0,0.0,4.0,5.0,0.0,5.0,5.0,1.0,5.0,6.0,0.0,3.0,0.0,2.0,14.0,111.0,14.0,79.0,35.0,39.0,18.0,24.0,39.0,52.0,33.0,25.0,10.0,4.0,2.0,3.0,0.0,0.0,"0,23",10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0.0,0.0,110.0,0.0,1.0,1.0,0.0,1.0,6224.0,1.0,0.0,1.0,0.0,1.0,6224.0,1.0,1.0
TestReplTableMigrationWithJsonFormat.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,37.0,37.0,3.0,2.0,0.0,2.0,42312.333333333336,3.0,0.0,3.0,0.0,3.0,42312.333333333336,1.5,1.0
TestReplWithJsonMessageFormat.java,7.0,0.0,7.0,0.0,1.0,2.0,10.0,10.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,124.0,0.0,0.0,0.0,1.0,1.0,50.0,5.0,28.0,19.0,9.0,17.0,4.0,19.0,21.0,16.0,7.0,1.0,1.0,2.0,0.0,50.0,50.0,"0,61",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",1.0,3.0,55.0,5.0,6.0,4.0,0.0,4.0,20312.333333333332,6.0,0.0,6.0,0.0,6.0,20312.333333333332,1.5,1.0
TestReplWithReadOnlyHook.java,22.0,3.0,17.0,1.0,1.0,1.0,20.0,20.0,0.0,1.0,1.0,0.0,4.0,0.0,4.0,3.0,0.0,4.0,34.0,0.0,0.0,0.0,4.0,27.0,128.0,22.0,84.0,30.0,55.0,22.0,34.0,61.0,66.0,25.0,47.0,4.0,1.0,2.0,0.0,0.0,0.0,"0,26",4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0.0,0.0,130.0,2.0,2.0,2.0,0.0,2.0,351386.5,2.0,0.0,2.0,0.0,2.0,351386.5,1.0,1.0
TestReplicationFilterTransactions.java,11.0,1.0,9.0,1.0,1.0,1.0,46.0,46.0,0.0,4.0,10.0,13.0,34.0,0.0,34.0,24.0,10.0,34.0,13.0,1.0,8.0,0.0,25.0,77.0,514.0,79.0,377.0,150.0,223.0,58.0,111.0,218.0,266.0,132.0,170.0,19.0,3.0,1.0,4.0,72.0,65.0,"0,15",41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0.0,0.0,514.0,0.0,1.0,1.0,0.0,1.0,152.0,1.0,0.0,1.0,0.0,1.0,152.0,1.0,1.0
