Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,CountDeclFileCode,CountDeclFileHeader,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethodConst,CountDeclMethodFriend,CountLineInactive,CountLinePreprocessor,CountStmtEmpty,CountCCViol,CountCCViolType,CCViolDensityLine,CCViolDensityCode,BugStatus
File,TestWarehousePartitionHelper.java,5.0,0.0,5.0,0.0,1.0,,,,,1.0,0.0,6.0,5.0,,5.0,5.0,2.0,5.0,,0.0,0.0,0.0,5.0,,74.0,14.0,43.0,30.0,15.0,17.0,,27.0,33.0,26.0,15.0,,1.0,,0.0,,,"0,40",5.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",0
File,TestWebHCatE2e.java,13.0,0.0,11.0,1.0,2.0,,,,,4.0,6.0,6.0,22.0,,20.0,16.0,8.0,22.0,,1.0,5.0,0.0,16.0,,376.0,27.0,287.0,126.0,170.0,65.0,,162.0,196.0,96.0,129.0,,7.0,,3.0,,,"0,23",33.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",1
File,TestWorker.java,35.0,5.0,28.0,2.0,3.0,,,,,1.0,0.0,2.0,27.0,,27.0,27.0,0.0,27.0,,1.0,1.0,0.0,25.0,,1033.0,159.0,788.0,261.0,623.0,88.0,,618.0,697.0,246.0,599.0,,22.0,,3.0,,,"0,11",78.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",1
File,TestWorker2.java,4.0,0.0,4.0,0.0,1.0,,,,,1.0,0.0,0.0,1.0,,1.0,1.0,0.0,1.0,,1.0,0.0,0.0,0.0,,29.0,2.0,7.0,4.0,1.0,20.0,,2.0,4.0,3.0,1.0,,1.0,,0.0,,,"2,86",1.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",0
File,TestWorkloadManager.java,20.0,1.0,18.0,2.0,1.0,,,,,4.0,11.0,2.0,54.0,,54.0,43.0,8.0,54.0,,1.0,10.0,1.0,42.0,,1245.0,129.0,1014.0,350.0,800.0,111.0,,763.0,836.0,265.0,732.0,,6.0,,1.0,,,"0,11",71.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",0
File,TestXSRFFilter.java,8.0,0.0,8.0,1.0,1.0,,,,,1.0,2.0,4.0,11.0,,11.0,9.0,1.0,11.0,,0.0,4.0,0.0,7.0,,161.0,23.0,112.0,54.0,53.0,26.0,,69.0,85.0,47.0,44.0,,3.0,,1.0,,,"0,23",15.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",1
File,TestZooKeeperTokenStore.java,18.0,1.0,16.0,0.0,2.0,,,,,1.0,0.0,0.0,7.0,,7.0,7.0,4.0,7.0,,0.0,1.0,2.0,4.0,,180.0,24.0,138.0,56.0,97.0,18.0,,92.0,104.0,51.0,68.0,,2.0,,1.0,,,"0,13",11.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",1
File,TestZookeeperLockManager.java,17.0,1.0,16.0,0.0,2.0,,,,,1.0,0.0,4.0,5.0,,5.0,5.0,6.0,5.0,,0.0,0.0,0.0,5.0,,151.0,18.0,116.0,54.0,60.0,17.0,,85.0,95.0,49.0,53.0,,3.0,,2.0,,,"0,15",9.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",1
File,TestsFailedException.java,3.0,0.0,3.0,0.0,1.0,,,,,1.0,0.0,1.0,1.0,,1.0,1.0,0.0,1.0,,0.0,0.0,0.0,1.0,,27.0,2.0,7.0,4.0,2.0,18.0,,3.0,5.0,4.0,1.0,,1.0,,0.0,,,"2,57",1.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",0
File,TextFileStorageFormatDescriptor.java,4.0,0.0,4.0,0.0,1.0,,,,,1.0,0.0,0.0,3.0,,3.0,3.0,0.0,3.0,,0.0,0.0,0.0,3.0,,38.0,4.0,17.0,10.0,3.0,17.0,,6.0,10.0,7.0,3.0,,1.0,,0.0,,,"1,00",3.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",1
