Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,CountDeclFileCode,CountDeclFileHeader,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethodConst,CountDeclMethodFriend,CountLineInactive,CountLinePreprocessor,CountStmtEmpty,CountCCViol,CountCCViolType,CCViolDensityLine,CCViolDensityCode,BugStatus
File,ErrorType.java,7.0,0.0,3.0,4.0,1.0,,,,,1.0,0.0,0.0,9.0,,7.0,9.0,27.0,9.0,,0.0,3.0,0.0,6.0,,137.0,17.0,57.0,36.0,15.0,63.0,,19.0,26.0,13.0,13.0,,1.0,,0.0,,,"1,11",7.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",0
File,ErroredReplicationTask.java,4.0,0.0,4.0,0.0,1.0,,,,,1.0,0.0,0.0,3.0,,3.0,3.0,1.0,3.0,,0.0,0.0,0.0,3.0,,52.0,8.0,16.0,8.0,5.0,28.0,,7.0,11.0,7.0,4.0,,1.0,,0.0,,,"1,75",3.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",0
File,EscapeCRLFHelper.java,23.0,3.0,18.0,3.0,5.0,,,,,1.0,1.0,2.0,2.0,,2.0,1.0,0.0,2.0,,0.0,0.0,0.0,2.0,,79.0,9.0,40.0,11.0,26.0,30.0,,17.0,27.0,11.0,18.0,,8.0,,3.0,,,"0,75",9.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",0
File,EsriFeature.java,7.0,0.0,3.0,4.0,1.0,,,,,1.0,2.0,0.0,3.0,,3.0,1.0,2.0,3.0,,0.0,0.0,0.0,3.0,,65.0,7.0,22.0,14.0,3.0,36.0,,14.0,18.0,15.0,3.0,,1.0,,0.0,,,"1,64",3.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",0
File,EsriFeatureClass.java,10.0,0.0,3.0,7.0,1.0,,,,,1.0,2.0,0.0,3.0,,3.0,1.0,6.0,3.0,,0.0,0.0,0.0,3.0,,93.0,11.0,29.0,22.0,3.0,53.0,,20.0,24.0,21.0,3.0,,1.0,,0.0,,,"1,83",3.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",0
File,EsriField.java,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,0.0,,0.0,0.0,4.0,0.0,,0.0,0.0,0.0,0.0,,43.0,5.0,9.0,8.0,0.0,29.0,,6.0,7.0,7.0,0.0,,0.0,,0.0,,,"3,22",0.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",0
File,EsriFieldType.java,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,2.0,,0.0,2.0,13.0,2.0,,0.0,0.0,0.0,2.0,,39.0,1.0,16.0,15.0,0.0,22.0,,1.0,2.0,2.0,0.0,,0.0,,0.0,,,"1,38",0.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",0
File,EsriJsonFactory.java,11.0,0.0,4.0,7.0,1.0,,,,,1.0,6.0,2.0,7.0,,7.0,1.0,0.0,7.0,,0.0,1.0,0.0,6.0,,146.0,17.0,61.0,37.0,20.0,69.0,,41.0,49.0,33.0,20.0,,1.0,,0.0,,,"1,13",7.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",0
File,EsriJsonSerDe.java,9.0,0.0,9.0,0.0,3.0,,,,,2.0,3.0,0.0,13.0,,13.0,10.0,1.0,13.0,,0.0,1.0,2.0,10.0,,163.0,17.0,129.0,36.0,75.0,17.0,,54.0,91.0,33.0,65.0,,13.0,,1.0,,,"0,13",35.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",0
File,EstimateUniqueKeys.java,18.0,2.0,14.0,2.0,4.0,,,,,1.0,13.0,0.0,14.0,,14.0,1.0,0.0,14.0,,1.0,12.0,0.0,1.0,,341.0,44.0,229.0,82.0,134.0,68.0,,117.0,180.0,87.0,119.0,,10.0,,4.0,,,"0,30",55.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",0
File,EventBoundaryFilter.java,4.0,0.0,4.0,0.0,1.0,,,,,1.0,0.0,0.0,2.0,,2.0,2.0,2.0,2.0,,1.0,0.0,0.0,1.0,,34.0,4.0,13.0,7.0,3.0,17.0,,6.0,9.0,6.0,3.0,,1.0,,0.0,,,"1,31",2.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",0
File,EventCleanerTask.java,7.0,1.0,6.0,0.0,2.0,,,,,1.0,0.0,1.0,4.0,,4.0,4.0,1.0,4.0,,0.0,0.0,0.0,4.0,,66.0,12.0,37.0,22.0,11.0,17.0,,18.0,25.0,18.0,10.0,,3.0,,2.0,,,"0,46",6.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",0
File,EventConsumer.java,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,28.0,5.0,6.0,5.0,0.0,17.0,,4.0,5.0,5.0,0.0,,0.0,,0.0,,,"2,83",0.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",0
File,EventDumpDirComparator.java,14.0,1.0,11.0,2.0,3.0,,,,,1.0,0.0,0.0,1.0,,1.0,1.0,0.0,1.0,,0.0,0.0,0.0,1.0,,38.0,3.0,16.0,8.0,7.0,19.0,,8.0,12.0,7.0,7.0,,3.0,,1.0,,,"1,19",3.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",0
File,EventHandler.java,6.0,0.0,6.0,0.0,1.0,,,,,2.0,0.0,0.0,8.0,,12.0,12.0,10.0,12.0,,9.0,0.0,0.0,3.0,,108.0,13.0,78.0,35.0,33.0,17.0,,50.0,60.0,33.0,27.0,,1.0,,0.0,,,"0,22",8.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",0
File,EventHandlerFactory.java,10.0,0.0,10.0,0.0,2.0,,,,,1.0,2.0,1.0,3.0,,3.0,1.0,0.0,3.0,,1.0,1.0,0.0,1.0,,95.0,7.0,70.0,19.0,47.0,18.0,,46.0,53.0,16.0,41.0,,3.0,,2.0,,,"0,26",6.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",0
File,EventMessage.java,4.0,0.0,3.0,0.0,1.0,,,,,2.0,0.0,0.0,7.0,,9.0,11.0,46.0,11.0,,1.0,0.0,1.0,9.0,,140.0,17.0,78.0,59.0,11.0,45.0,,16.0,25.0,14.0,11.0,,4.0,,1.0,,,"0,58",8.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",0
File,EventRequestType.java,5.0,0.0,4.0,1.0,1.0,,,,,1.0,1.0,0.0,5.0,,3.0,4.0,4.0,5.0,,0.0,1.0,0.0,4.0,,46.0,6.0,27.0,11.0,11.0,13.0,,9.0,13.0,6.0,7.0,,4.0,,1.0,,,"0,48",6.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",0
File,EventUtils.java,12.0,0.0,9.0,2.0,2.0,,,,,4.0,0.0,0.0,12.0,,16.0,16.0,10.0,16.0,,4.0,2.0,0.0,10.0,,215.0,25.0,148.0,63.0,63.0,42.0,,65.0,94.0,45.0,52.0,,4.0,,2.0,,,"0,28",25.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",1
File,EventsDumpMetadata.java,5.0,0.0,5.0,0.0,1.0,,,,,1.0,1.0,1.0,12.0,,12.0,10.0,3.0,11.0,,0.0,0.0,0.0,11.0,,113.0,16.0,73.0,38.0,25.0,24.0,,35.0,49.0,33.0,19.0,,2.0,,2.0,,,"0,33",13.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",0
File,EventualCleanupService.java,11.0,0.0,10.0,0.0,2.0,,,,,3.0,0.0,0.0,8.0,,8.0,8.0,9.0,8.0,,0.0,0.0,0.0,8.0,,145.0,15.0,113.0,44.0,53.0,17.0,,61.0,82.0,39.0,46.0,,5.0,,4.0,,,"0,15",18.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",0
File,EvictingPriorityBlockingQueue.java,7.0,0.0,6.0,0.0,2.0,,,,,1.0,0.0,1.0,12.0,,12.0,12.0,4.0,12.0,,0.0,1.0,0.0,11.0,,137.0,19.0,90.0,33.0,46.0,29.0,,43.0,64.0,31.0,40.0,,4.0,,2.0,,,"0,32",19.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",0
File,EvictionAwareAllocator.java,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,0.0,,2.0,2.0,0.0,2.0,,2.0,0.0,0.0,0.0,,31.0,2.0,7.0,6.0,0.0,22.0,,5.0,6.0,6.0,0.0,,0.0,,0.0,,,"3,14",0.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",0
File,EvictionDispatcher.java,6.0,0.0,5.0,1.0,1.0,,,,,1.0,0.0,0.0,8.0,,8.0,8.0,4.0,8.0,,0.0,1.0,0.0,7.0,,89.0,10.0,49.0,22.0,17.0,30.0,,25.0,35.0,19.0,16.0,,2.0,,1.0,,,"0,61",9.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",0
File,EvictionListener.java,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,0.0,,2.0,2.0,0.0,2.0,,2.0,0.0,0.0,0.0,,33.0,3.0,5.0,4.0,0.0,25.0,,3.0,4.0,4.0,0.0,,0.0,,0.0,,,"5,00",0.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",0
File,ExceptionHandler.java,10.0,0.0,7.0,3.0,2.0,,,,,1.0,4.0,0.0,13.0,,13.0,9.0,1.0,13.0,,0.0,1.0,0.0,12.0,,178.0,17.0,104.0,35.0,47.0,57.0,,37.0,62.0,24.0,39.0,,4.0,,3.0,,,"0,55",23.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",0
File,Exec.java,10.0,0.0,8.0,2.0,2.0,,,,,2.0,4.0,6.0,243.0,,241.0,236.0,50.0,240.0,,27.0,12.0,1.0,200.0,,2943.0,268.0,2161.0,652.0,1219.0,517.0,,999.0,1483.0,543.0,1094.0,,14.0,,4.0,,,"0,24",488.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",1
File,ExecBean.java,6.0,0.0,3.0,2.0,1.0,,,,,1.0,0.0,0.0,3.0,,3.0,3.0,3.0,3.0,,0.0,0.0,0.0,3.0,,48.0,4.0,16.0,8.0,5.0,28.0,,8.0,12.0,8.0,4.0,,1.0,,0.0,,,"1,75",3.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",0
File,ExecDriver.java,24.0,3.0,18.0,3.0,4.0,,,,,1.0,7.0,4.0,31.0,,31.0,24.0,5.0,31.0,,0.0,6.0,2.0,23.0,,895.0,123.0,664.0,230.0,414.0,109.0,,391.0,512.0,218.0,356.0,,36.0,,5.0,,,"0,16",118.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",0
File,ExecMapRunner.java,9.0,0.0,9.0,0.0,2.0,,,,,1.0,0.0,0.0,1.0,,1.0,1.0,0.0,1.0,,0.0,0.0,0.0,1.0,,40.0,5.0,18.0,12.0,5.0,17.0,,11.0,14.0,11.0,4.0,,2.0,,1.0,,,"0,94",2.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",0
File,ExecMapper.java,16.0,1.0,13.0,2.0,3.0,,,,,2.0,2.0,2.0,10.0,,10.0,8.0,9.0,10.0,,0.0,0.0,0.0,10.0,,252.0,29.0,174.0,63.0,92.0,49.0,,101.0,135.0,62.0,81.0,,7.0,,3.0,,,"0,28",28.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",0
File,ExecMapperContext.java,4.0,0.0,3.0,1.0,1.0,,,,,1.0,0.0,0.0,19.0,,19.0,19.0,9.0,19.0,,0.0,0.0,0.0,19.0,,151.0,26.0,84.0,37.0,32.0,41.0,,42.0,63.0,37.0,26.0,,2.0,,1.0,,,"0,49",20.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",0
File,ExecReducer.java,62.0,6.0,51.0,7.0,8.0,,,,,1.0,0.0,2.0,3.0,,3.0,3.0,15.0,3.0,,0.0,0.0,0.0,3.0,,276.0,28.0,199.0,64.0,128.0,51.0,,122.0,146.0,61.0,93.0,,13.0,,4.0,,,"0,26",23.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",0
File,ExecService.java,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,0.0,,2.0,2.0,0.0,2.0,,0.0,0.0,0.0,2.0,,35.0,4.0,13.0,12.0,0.0,18.0,,7.0,8.0,8.0,0.0,,0.0,,0.0,,,"1,38",0.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",0
File,ExecServiceImpl.java,18.0,1.0,13.0,4.0,3.0,,,,,2.0,1.0,4.0,10.0,,10.0,9.0,4.0,10.0,,1.0,3.0,0.0,6.0,,251.0,25.0,166.0,72.0,85.0,60.0,,85.0,118.0,64.0,73.0,,5.0,,2.0,,,"0,36",27.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",0
File,ExecuteStatementAnalyzer.java,16.0,2.0,11.0,3.0,2.0,,,,,2.0,0.0,0.0,12.0,,12.0,12.0,2.0,12.0,,3.0,7.0,0.0,2.0,,273.0,38.0,169.0,69.0,97.0,66.0,,107.0,135.0,68.0,86.0,,7.0,,2.0,,,"0,39",23.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",1
File,ExecuteStatementOperation.java,7.0,0.0,7.0,0.0,2.0,,,,,2.0,4.0,0.0,11.0,,11.0,7.0,2.0,11.0,,0.0,2.0,0.0,9.0,,140.0,18.0,103.0,50.0,40.0,19.0,,51.0,70.0,43.0,30.0,,5.0,,2.0,,,"0,18",17.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",0
File,ExecuteWithHookContext.java,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,0.0,,1.0,1.0,0.0,1.0,,1.0,0.0,0.0,0.0,,42.0,6.0,8.0,7.0,0.0,28.0,,4.0,5.0,5.0,0.0,,0.0,,0.0,,,"3,50",0.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",0
File,ExecutionTrigger.java,5.0,0.0,5.0,0.0,1.0,,,,,1.0,1.0,0.0,12.0,,12.0,11.0,4.0,12.0,,0.0,0.0,0.0,12.0,,108.0,17.0,72.0,35.0,27.0,19.0,,29.0,44.0,24.0,23.0,,4.0,,1.0,,,"0,26",17.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",0
