Name,LinesAdded,LinesDeleted,CommitCount,DeveloperCount,BugFixCount,CumulativeDeveloperCount,AverageTimeBetweenChanges,CumulativeCommitCount,ChangedComments,UnchangedComments,CumulativeChangedComments,CumulativeUnchangedComments,CumulativeAverageTimeBetweenChanges,AverageExpertise,MinimumExpertise
AMReporter.java,545,67,14,4,3,4,4772.285714285715,14,0,14,0,14,4772.285714285715,3.5,1
ASTBuilder.java,585,267,14,6,0,6,999880.9285714285,14,0,14,0,14,999880.9285714285,2.3333333333333335,1
ASTConverter.java,1651,892,28,13,0,13,501241.21428571426,28,0,28,0,28,501241.21428571426,2.1538461538461537,1
ASTNode.java,714,82,9,5,0,5,46435.444444444445,9,0,9,0,9,46435.444444444445,1.8,1
ATSHook.java,222,103,19,11,0,11,167251.36842105264,19,0,19,0,19,167251.36842105264,1.7272727272727273,1
AbortTxnRequest.java,82,62,15,7,0,7,6991.8,15,0,15,0,15,6991.8,2.142857142857143,1
AbstractBucketJoinProc.java,78,64,6,6,0,6,12409.0,6,0,6,0,6,12409.0,1.0,1
AbstractCommandHandler.java,12,12,1,1,0,1,4241997.0,1,0,1,0,1,4241997.0,1.0,1
AbstractCorrelationProcCtx.java,28,0,4,3,1,3,8278.0,4,0,4,0,4,8278.0,1.3333333333333333,1
AbstractEncodingAwareSerDe.java,36,11,7,7,1,7,5037.142857142857,7,0,7,0,7,5037.142857142857,1.0,1
AbstractExpression.java,150,0,1,1,0,1,1.0,1,0,1,0,1,1.0,1.0,1
AbstractFileMergeOperator.java,323,41,9,6,0,6,392331.6666666667,9,0,9,0,9,392331.6666666667,1.5,1
AbstractGenericUDFEWAHBitmapBop.java,2,22,2,2,0,2,3482.0,2,0,2,0,2,3482.0,1.0,1
AbstractGenericUDFReflect.java,2,20,2,2,0,2,3482.0,2,0,2,0,2,3482.0,1.0,1
AbstractHBaseKeyPredicateDecomposer.java,8,8,2,2,0,2,1730.5,2,0,2,0,2,1730.5,1.0,1
AbstractHiveAuthorizer.java,41,0,1,1,0,1,90271.0,1,0,1,0,1,90271.0,1.0,1
AbstractHiveService.java,3,3,1,1,0,1,2954968.0,1,0,1,0,1,2954968.0,1.0,1
AbstractJoinTaskDispatcher.java,2,5,1,1,0,1,3232.0,1,0,1,0,1,3232.0,1.0,1
AbstractMapJoinOperator.java,32,33,8,5,0,5,314041.125,8,0,8,0,8,314041.125,1.6,1
AbstractOperatorDesc.java,126,27,18,10,0,10,22399.722222222223,18,0,18,0,18,22399.722222222223,1.8,1
AbstractParquetMapInspector.java,63,77,10,6,0,6,430405.7,10,0,10,0,10,430405.7,1.6666666666666667,1
AbstractPrimitiveObjectInspector.java,5,0,5,4,0,4,15486.2,5,0,5,0,5,15486.2,1.25,1
AbstractRecordWriter.java,264,69,19,10,0,10,7607.631578947368,19,0,19,0,19,7607.631578947368,1.9,1
AbstractRowContainer.java,33,0,3,3,0,3,110325.66666666667,3,0,3,0,3,110325.66666666667,1.0,1
AbstractSMBJoinProc.java,62,78,6,5,0,5,5346.666666666667,6,0,6,0,6,5346.666666666667,1.2,1
AbstractSerDe.java,26,3,3,1,0,1,989355.3333333334,3,0,3,0,3,989355.3333333334,3.0,3
AbstractService.java,6,6,2,2,0,2,1730.5,2,0,2,0,2,1730.5,1.0,1
AbstractTestAuthorizationApiAuthorizer.java,211,0,1,1,0,1,4241997.0,1,0,1,0,1,4241997.0,1.0,1
AbstractTestGenericUDFOPNumeric.java,56,0,1,1,0,1,4241997.0,1,0,1,0,1,4241997.0,1.0,1
AbstractTestParquetDirect.java,314,66,14,9,0,9,310079.0,14,0,14,0,14,310079.0,1.5555555555555556,1
AccumuloConnectionParameters.java,535,20,5,5,0,5,15864.8,5,0,5,0,5,15864.8,1.0,1
AccumuloHiveRow.java,17,0,1,1,0,1,2954968.0,1,0,1,0,1,2954968.0,1.0,1
AccumuloPredicateHandler.java,25,6,4,4,0,4,755429.75,4,0,4,0,4,755429.75,1.0,1
AccumuloQTestUtil.java,3,3,3,3,1,3,1165.6666666666667,3,0,3,0,3,1165.6666666666667,1.0,1
AccumuloRowSerializer.java,14,15,5,4,0,4,486845.6,5,0,5,0,5,486845.6,1.25,1
AccumuloSerDe.java,23,6,3,3,0,3,987310.6666666666,3,0,3,0,3,987310.6666666666,1.0,1
AccumuloSerDeParameters.java,23,20,6,6,0,6,3729.8333333333335,6,0,6,0,6,3729.8333333333335,1.0,1
AccumuloStorageHandler.java,267,0,6,5,0,5,505715.3333333333,6,0,6,0,6,505715.3333333333,1.2,1
AcidCompactionHistoryService.java,83,0,1,1,0,1,53.0,1,0,1,0,1,53.0,1.0,1
AcidHouseKeeperService.java,449,62,9,5,0,5,7005.111111111111,9,0,9,0,9,7005.111111111111,1.8,1
AcidInputFormat.java,297,19,7,6,0,6,357135.0,7,0,7,0,7,357135.0,1.1666666666666667,1
AcidOutputFormat.java,235,10,5,5,0,5,15199.4,5,0,5,0,5,15199.4,1.0,1
AcidTable.java,577,0,6,4,0,4,7703.666666666667,6,0,6,0,6,7703.666666666667,1.5,1
AcidTableSerializer.java,517,0,6,4,0,4,7703.666666666667,6,0,6,0,6,7703.666666666667,1.5,1
AcidUtils.java,1286,380,19,9,0,9,163731.36842105264,19,0,19,0,19,163731.36842105264,2.111111111111111,1
AddDynamicPartitions.java,2407,188,21,9,0,9,9087.952380952382,21,0,21,0,21,9087.952380952382,2.3333333333333335,1
