Name,LinesAdded,LinesDeleted,CommitCount,DeveloperCount,BugFixCount,CumulativeDeveloperCount,AverageTimeBetweenChanges,CumulativeCommitCount,ChangedComments,UnchangedComments,CumulativeChangedComments,CumulativeUnchangedComments,CumulativeAverageTimeBetweenChanges,AverageExpertise,MinimumExpertise
DbNotificationListener.java,35,24,1,1,0,1,1639913.0,1,0,1,0,1,1639913.0,1.0,1
Exec.java,1,9,1,1,0,1,112.0,1,0,1,0,1,112.0,1.0,1
Ftp.java,0,439,1,1,0,1,112.0,1,0,1,0,1,112.0,1.0,1
HivePreparedStatement.java,25,3,1,1,0,1,8054421.0,1,0,1,0,1,8054421.0,1.0,1
TestJdbcDriver2.java,20,0,1,1,0,1,8054421.0,1,0,1,0,1,8054421.0,1.0,1
TestUDFXPathUtil.java,22,1,1,1,0,1,517378.0,1,0,1,0,1,517378.0,1.0,1
UDFXPathUtil.java,26,1,1,1,0,1,517378.0,1,0,1,0,1,517378.0,1.0,1
