Name,LinesAdded,LinesDeleted,CommitCount,DeveloperCount,BugFixCount,CumulativeDeveloperCount,AverageTimeBetweenChanges,CumulativeCommitCount,ChangedComments,UnchangedComments,CumulativeChangedComments,CumulativeUnchangedComments,CumulativeAverageTimeBetweenChanges,AverageExpertise,MinimumExpertise
AMReporter.java,6,6,2,2,0,2,4938949.5,2,0,2,0,2,4938949.5,1.0,1
AnnotateRunTimeStatsOptimizer.java,14,14,2,2,0,2,4938949.5,2,0,2,0,2,4938949.5,1.0,1
AvroDeserializer.java,3,3,1,1,0,1,350713.0,1,0,1,0,1,350713.0,1.0,1
AvroSerdeUtils.java,12,0,1,1,0,1,350713.0,1,0,1,0,1,350713.0,1.0,1
CookieSigner.java,1,1,1,1,1,1,9789.0,1,0,1,0,1,9789.0,1.0,1
CoreCliDriver.java,2,2,2,2,0,2,4938949.5,2,0,2,0,2,4938949.5,1.0,1
DruidQueryRecordReader.java,5,5,2,2,0,2,4938949.5,2,0,2,0,2,4938949.5,1.0,1
DruidSelectQueryRecordReader.java,4,4,2,2,0,2,4938949.5,2,0,2,0,2,4938949.5,1.0,1
DruidStorageHandler.java,17,17,2,2,0,2,4938949.5,2,0,2,0,2,4938949.5,1.0,1
DruidTopNQueryRecordReader.java,4,4,2,2,0,2,4938949.5,2,0,2,0,2,4938949.5,1.0,1
ElapsedTimeLoggingWrapper.java,2,2,2,2,0,2,4938949.5,2,0,2,0,2,4938949.5,1.0,1
ErrorMsg.java,2,2,1,1,1,1,606657.0,1,0,1,0,1,606657.0,1.0,1
FetchOperator.java,5,5,2,2,0,2,4938949.5,2,0,2,0,2,4938949.5,1.0,1
HdfsUtils.java,7,7,2,2,0,2,4938949.5,2,0,2,0,2,4938949.5,1.0,1
HiveMetaStoreChecker.java,2,2,2,2,0,2,4938949.5,2,0,2,0,2,4938949.5,1.0,1
HiveRelMdPredicates.java,3,3,2,2,0,2,4938949.5,2,0,2,0,2,4938949.5,1.0,1
JvmMetricsInfo.java,4,4,2,2,0,2,4938949.5,2,0,2,0,2,4938949.5,1.0,1
JvmPauseMonitor.java,2,2,2,2,0,2,4938949.5,2,0,2,0,2,4938949.5,1.0,1
LineageLogger.java,2,2,2,2,0,2,4938949.5,2,0,2,0,2,4938949.5,1.0,1
LlapDaemonCacheInfo.java,5,5,2,2,0,2,4938949.5,2,0,2,0,2,4938949.5,1.0,1
LlapDaemonExecutorInfo.java,5,5,2,2,0,2,4938949.5,2,0,2,0,2,4938949.5,1.0,1
LlapDaemonIOInfo.java,5,5,2,2,0,2,4938949.5,2,0,2,0,2,4938949.5,1.0,1
LlapDaemonJvmInfo.java,5,5,2,2,0,2,4938949.5,2,0,2,0,2,4938949.5,1.0,1
LlapProtocolClientProxy.java,4,4,2,2,0,2,4938949.5,2,0,2,0,2,4938949.5,1.0,1
LlapTaskReporter.java,2,2,2,2,0,2,4938949.5,2,0,2,0,2,4938949.5,1.0,1
LlapTaskSchedulerInfo.java,5,5,2,2,0,2,4938949.5,2,0,2,0,2,4938949.5,1.0,1
LlapTaskSchedulerService.java,6,6,2,2,0,2,4938949.5,2,0,2,0,2,4938949.5,1.0,1
MetricsCollection.java,12,12,2,2,0,2,4938949.5,2,0,2,0,2,4938949.5,1.0,1
PerfLogger.java,6,6,3,2,0,2,1032640.6666666666,3,0,3,0,3,1032640.6666666666,1.5,1
QueryDisplay.java,10,11,3,2,0,2,1032640.6666666666,3,0,3,0,3,1032640.6666666666,1.5,1
ReplicationSpec.java,10,10,2,2,0,2,4938949.5,2,0,2,0,2,4938949.5,1.0,1
SQLStdHiveAuthorizationValidatorForTest.java,9,9,2,2,0,2,4938949.5,2,0,2,0,2,4938949.5,1.0,1
SchemaToTypeInfo.java,10,4,1,1,0,1,350713.0,1,0,1,0,1,350713.0,1.0,1
SessionManager.java,5,5,2,2,0,2,4938949.5,2,0,2,0,2,4938949.5,1.0,1
SplitSupport.java,69,0,1,1,0,1,1832874.0,1,0,1,0,1,1832874.0,1.0,1
SplitSupportDummy.java,15,0,3,1,0,1,1832874.0,3,0,3,0,3,1832874.0,3.0,3
SubstitutionVisitor.java,4,4,2,2,0,2,4938949.5,2,0,2,0,2,4938949.5,1.0,1
TaskExecutorService.java,2,2,2,2,0,2,4938949.5,2,0,2,0,2,4938949.5,1.0,1
TaskRunnerCallable.java,10,10,2,2,0,2,4938949.5,2,0,2,0,2,4938949.5,1.0,1
