Name,LinesAdded,LinesDeleted,CommitCount,DeveloperCount,BugFixCount,CumulativeDeveloperCount,AverageTimeBetweenChanges,CumulativeCommitCount,ChangedComments,UnchangedComments,CumulativeChangedComments,CumulativeUnchangedComments,CumulativeAverageTimeBetweenChanges,AverageExpertise,MinimumExpertise
ACLConfigurationParser.java,167,0,1,1,0,1,298.0,1,0,1,0,1,298.0,1.0,1
AMReporter.java,208,120,7,4,0,4,7536.857142857143,7,0,7,0,7,7536.857142857143,1.75,1
ASTBuilder.java,92,49,6,3,1,3,25696.166666666668,6,0,6,0,6,25696.166666666668,2.0,1
ASTConverter.java,143,48,6,3,1,3,28995.0,6,0,6,0,6,28995.0,2.0,1
ASTNode.java,8,9,2,1,0,1,33405.5,2,0,2,0,2,33405.5,2.0,2
ATSHook.java,364,113,12,6,0,6,7560.333333333333,12,0,12,0,12,7560.333333333333,2.0,1
AbstractCliConfig.java,439,1,3,2,0,2,9955.0,3,0,3,0,3,9955.0,1.5,1
AbstractCoreBlobstoreCliDriver.java,192,12,5,3,0,3,5786.6,5,1,4,1,4,5786.6,1.6666666666666667,1
AbstractExpression.java,19,1,1,1,0,1,2541.0,1,0,1,0,1,2541.0,1.0,1
AbstractFilterStringColLikeStringScalar.java,21,31,7,3,0,3,9211.42857142857,7,0,7,0,7,9211.42857142857,2.3333333333333335,1
AbstractHBaseKeyFactory.java,3,3,1,1,0,1,1684.0,1,0,1,0,1,1684.0,1.0,1
AbstractHCatLoaderTest.java,1492,746,3,1,0,1,16108.666666666666,3,0,3,0,3,16108.666666666666,3.0,3
AbstractHCatStorerTest.java,1100,4,2,2,0,2,13107.5,2,0,2,0,2,13107.5,1.0,1
AbstractHiveService.java,160,160,3,2,0,2,12113.666666666666,3,0,3,0,3,12113.666666666666,1.5,1
AbstractJoinTaskDispatcher.java,4,3,1,1,0,1,2145.0,1,0,1,0,1,2145.0,1.0,1
AbstractMapJoinOperator.java,1,1,1,1,0,1,2329.0,1,0,1,0,1,2329.0,1.0,1
AbstractMapOperator.java,7,6,2,2,0,2,6729.5,2,0,2,0,2,6729.5,1.0,1
AbstractOperatorDesc.java,59,24,7,3,1,3,15672.714285714286,7,0,7,0,7,15672.714285714286,2.3333333333333335,1
AbstractRecordWriter.java,84,47,4,3,0,3,5746.0,4,0,4,0,4,5746.0,1.3333333333333333,1
AbstractSerDe.java,1,1,1,1,0,1,6363.0,1,0,1,0,1,6363.0,1.0,1
AbstractService.java,1,1,1,1,1,1,65478.0,1,0,1,0,1,65478.0,1.0,1
AbstractTestPhase.java,2,1,1,1,0,1,73.0,1,0,1,0,1,73.0,1.0,1
AbstractVectorDesc.java,45,33,6,2,1,2,12094.666666666666,6,0,6,0,6,12094.666666666666,3.0,1
AccumuloPredicateHandler.java,2,2,1,1,0,1,1684.0,1,0,1,0,1,1684.0,1.0,1
AccumuloQTestUtil.java,9,3,1,1,0,1,15172.0,1,0,1,0,1,15172.0,1.0,1
AccumuloSerDe.java,2,2,1,1,0,1,6363.0,1,0,1,0,1,6363.0,1.0,1
AccumuloStorageHandler.java,2,2,1,1,0,1,6363.0,1,0,1,0,1,6363.0,1.0,1
AccumuloTestSetup.java,20,7,2,2,0,2,7716.5,2,0,2,0,2,7716.5,1.0,1
AcidOpenTxnsCounterService.java,7,1,1,1,0,1,4148.0,1,0,1,0,1,4148.0,1.0,1
AcidOutputFormat.java,20,5,1,1,0,1,7279.0,1,0,1,0,1,7279.0,1.0,1
AcidStats.java,0,60,1,1,0,1,7750.0,1,0,1,0,1,7750.0,1.0,1
AcidUtils.java,517,75,7,3,1,3,7185.285714285715,7,1,6,1,6,7185.285714285715,2.3333333333333335,1
AddDynamicPartitions.java,16,16,1,1,0,1,10078.0,1,0,1,0,1,10078.0,1.0,1
AddPartitionDesc.java,22,0,1,1,0,1,1230.0,1,0,1,0,1,1230.0,1.0,1
AddPartitionMessage.java,66,0,3,3,0,3,10993.666666666666,3,0,3,0,3,10993.666666666666,1.0,1
AggregateDefinition.java,7,6,1,1,0,1,663.0,1,0,1,0,1,663.0,1.0,1
AggregationDesc.java,7,0,1,1,0,1,2329.0,1,0,1,0,1,2329.0,1.0,1
Allocator.java,13,3,1,1,1,1,88651.0,1,0,1,0,1,88651.0,1.0,1
AlterHandler.java,102,14,1,1,0,1,45854.0,1,0,1,0,1,45854.0,1.0,1
AlterIndexMessage.java,63,0,3,3,0,3,4309.666666666667,3,0,3,0,3,4309.666666666667,1.0,1
AlterPartitionMessage.java,65,0,2,2,0,2,8306.5,2,0,2,0,2,8306.5,1.0,1
AlterTableMessage.java,54,0,2,2,0,2,8306.5,2,0,2,0,2,8306.5,1.0,1
AlterTableSimpleDesc.java,18,1,2,2,0,2,6060.0,2,0,2,0,2,6060.0,1.0,1
AnnotateReduceSinkOutputOperator.java,73,0,1,1,0,1,6807.0,1,0,1,0,1,6807.0,1.0,1
