Name,LinesAdded,LinesDeleted,CommitCount,DeveloperCount,BugFixCount,CumulativeDeveloperCount,AverageTimeBetweenChanges,CumulativeCommitCount,ChangedComments,UnchangedComments,CumulativeChangedComments,CumulativeUnchangedComments,CumulativeAverageTimeBetweenChanges,AverageExpertise,MinimumExpertise
ASTConverter.java,14,5,1,1,0,1,64414.0,1,0,1,0,1,64414.0,1.0,1
AbstractHiveService.java,1,1,1,1,0,1,28001.0,1,0,1,0,1,28001.0,1.0,1
AbstractRecordWriter.java,44,17,1,1,0,1,84.0,1,0,1,0,1,84.0,1.0,1
AcidOpenTxnsCounterService.java,7,1,1,1,0,1,12745.0,1,0,1,0,1,12745.0,1.0,1
AcidUtils.java,54,8,2,1,0,1,6710.0,2,0,2,0,2,6710.0,2.0,2
AppConfig.java,31,55,4,2,0,2,127829.5,4,0,4,0,4,127829.5,2.0,1
AvroDeserializer.java,20,2,1,1,0,1,17942.0,1,0,1,0,1,17942.0,1.0,1
AvroSerdeUtils.java,32,7,1,1,0,1,17942.0,1,0,1,0,1,17942.0,1.0,1
BaseWork.java,10,0,1,1,0,1,6666.0,1,0,1,0,1,6666.0,1.0,1
BeeLine.java,35,2,2,2,0,2,93066.0,2,0,2,0,2,93066.0,1.0,1
BinarySortableDeserializeRead.java,41,24,1,1,0,1,34867.0,1,0,1,0,1,34867.0,1.0,1
BuddyAllocator.java,1,1,1,1,0,1,750.0,1,0,1,0,1,750.0,1.0,1
BytesBytesMultiHashMap.java,20,43,2,2,1,2,22556.5,2,0,2,0,2,22556.5,1.0,1
CLIServiceRestoreTest.java,4,1,1,1,0,1,26706.0,1,0,1,0,1,26706.0,1.0,1
CLIServiceTest.java,3,0,1,1,0,1,98036.0,1,0,1,0,1,98036.0,1.0,1
CalcitePlanner.java,36,21,7,2,1,2,34680.857142857145,7,0,7,0,7,34680.857142857145,3.5,2
ChainFilterFactory.java,78,0,1,1,0,1,90182.0,1,0,1,0,1,90182.0,1.0,1
CheckFastHashTable.java,12,7,1,1,0,1,34867.0,1,0,1,0,1,34867.0,1.0,1
CheckFastRowHashMap.java,387,0,1,1,0,1,34867.0,1,0,1,0,1,34867.0,1.0,1
ColAndCol.java,3,0,1,1,0,1,9695.0,1,0,1,0,1,9695.0,1.0,1
ColOrCol.java,3,0,1,1,0,1,9695.0,1,0,1,0,1,9695.0,1.0,1
ColumnBuffer.java,7,2,1,1,0,1,13297.0,1,0,1,0,1,13297.0,1.0,1
ColumnVectorProducer.java,3,2,1,1,0,1,4567.0,1,0,1,0,1,4567.0,1.0,1
CommandProcessorFactory.java,2,0,1,1,0,1,821.0,1,0,1,0,1,821.0,1.0,1
Commands.java,72,36,2,2,0,2,27462.0,2,0,2,0,2,27462.0,1.0,1
CompactionInfo.java,1,0,1,1,0,1,1181.0,1,0,1,0,1,1181.0,1.0,1
