Name,LinesAdded,LinesDeleted,CommitCount,DeveloperCount,BugFixCount,CumulativeDeveloperCount,AverageTimeBetweenChanges,CumulativeCommitCount,ChangedComments,UnchangedComments,CumulativeChangedComments,CumulativeUnchangedComments,CumulativeAverageTimeBetweenChanges,AverageExpertise,MinimumExpertise
AbstractTestAuthorizationApiAuthorizer.java,1,2,1,1,0,1,610920.0,1,0,1,0,1,610920.0,1.0,1
AvroSerdeUtils.java,8,6,1,1,0,1,2189470.0,1,0,1,0,1,2189470.0,1.0,1
FolderPermissionBase.java,1,2,1,1,0,1,610920.0,1,0,1,0,1,610920.0,1.0,1
Hive.java,7,0,1,1,0,1,6215789.0,1,0,1,0,1,6215789.0,1.0,1
HiveConf.java,10,4,2,2,1,2,447400.5,2,0,2,0,2,447400.5,1.0,1
HiveMetaStoreClient.java,3,12,1,1,0,1,35337.0,1,0,1,0,1,35337.0,1.0,1
LoadSemanticAnalyzer.java,11,5,1,1,0,1,778821.0,1,0,1,0,1,778821.0,1.0,1
MetaStoreUtils.java,33,0,1,1,0,1,610920.0,1,0,1,0,1,610920.0,1.0,1
MiniHS2.java,31,6,1,1,0,1,610920.0,1,0,1,0,1,610920.0,1.0,1
SessionState.java,1,1,1,1,0,1,6215789.0,1,0,1,0,1,6215789.0,1.0,1
StorageBasedMetastoreTestBase.java,1,4,1,1,0,1,610920.0,1,0,1,0,1,610920.0,1.0,1
TestAuthorizationPreEventListener.java,1,3,1,1,0,1,610920.0,1,0,1,0,1,610920.0,1.0,1
TestClientSideAuthorizationProvider.java,1,3,1,1,0,1,610920.0,1,0,1,0,1,610920.0,1.0,1
TestDDLWithRemoteMetastoreSecondNamenode.java,1,2,1,1,0,1,610920.0,1,0,1,0,1,610920.0,1.0,1
TestFilterHooks.java,1,2,1,1,0,1,610920.0,1,0,1,0,1,610920.0,1.0,1
TestHCatPartitionPublish.java,1,3,1,1,0,1,610920.0,1,0,1,0,1,610920.0,1.0,1
TestHiveMetaStoreStatsMerge.java,1,2,1,1,0,1,610920.0,1,0,1,0,1,610920.0,1.0,1
TestHiveMetaStoreWithEnvironmentContext.java,1,2,1,1,0,1,610920.0,1,0,1,0,1,610920.0,1.0,1
TestMetaStoreEndFunctionListener.java,1,2,1,1,0,1,610920.0,1,0,1,0,1,610920.0,1.0,1
TestMetaStoreEventListener.java,1,2,1,1,0,1,610920.0,1,0,1,0,1,610920.0,1.0,1
TestMetaStoreEventListenerOnlyOnCommit.java,1,2,1,1,0,1,610920.0,1,0,1,0,1,610920.0,1.0,1
TestMetaStoreInitListener.java,1,2,1,1,0,1,610920.0,1,0,1,0,1,610920.0,1.0,1
TestMetaStoreMetrics.java,3,4,1,1,0,1,610920.0,1,0,1,0,1,610920.0,1.0,1
TestMetastoreAuthorizationProvider.java,1,4,1,1,0,1,610920.0,1,0,1,0,1,610920.0,1.0,1
TestMultiAuthorizationPreEventListener.java,1,5,1,1,0,1,610920.0,1,0,1,0,1,610920.0,1.0,1
TestPermsGrp.java,1,3,1,1,0,1,610920.0,1,0,1,0,1,610920.0,1.0,1
TestRemoteHiveMetaStore.java,1,2,1,1,0,1,610920.0,1,0,1,0,1,610920.0,1.0,1
TestRemoteHiveMetaStoreIpAddress.java,2,3,1,1,0,1,610920.0,1,0,1,0,1,610920.0,1.0,1
TestRetryingHMSHandler.java,1,2,1,1,0,1,610920.0,1,0,1,0,1,610920.0,1.0,1
TestVectorizedColumnReader.java,5,0,1,1,0,1,87112.0,1,0,1,0,1,87112.0,1.0,1
TestWebHCatE2e.java,28,13,1,1,0,1,610920.0,1,0,1,0,1,610920.0,1.0,1
ThriftCliServiceMessageSizeTest.java,19,5,1,1,0,1,610920.0,1,0,1,0,1,610920.0,1.0,1
ThriftCliServiceTestWithCookie.java,20,5,1,1,0,1,610920.0,1,0,1,0,1,610920.0,1.0,1
VectorizedColumnReaderTestBase.java,32,1,1,1,0,1,87112.0,1,0,1,0,1,87112.0,1.0,1
VectorizedPrimitiveColumnReader.java,1,1,1,1,0,1,87112.0,1,0,1,0,1,87112.0,1.0,1
