Name,LinesAdded,LinesDeleted,CommitCount,DeveloperCount,BugFixCount,CumulativeDeveloperCount,AverageTimeBetweenChanges,CumulativeCommitCount,ChangedComments,UnchangedComments,CumulativeChangedComments,CumulativeUnchangedComments,CumulativeAverageTimeBetweenChanges,AverageExpertise,MinimumExpertise
AMReporter.java,31,32,3,3,0,3,2278.0,3,0,3,0,3,2278.0,1.0,1
ASTBuilder.java,50,8,6,4,1,4,24865.0,6,0,6,0,6,24865.0,1.5,1
ASTConverter.java,105,20,5,4,0,4,35248.2,5,0,5,0,5,35248.2,1.25,1
ASTNode.java,137,53,4,4,1,4,42569.0,4,0,4,0,4,42569.0,1.0,1
ATSHook.java,14,12,5,4,0,4,7279.4,5,0,5,0,5,7279.4,1.25,1
AbortTxnRequest.java,6,6,2,2,0,2,13915.0,2,0,2,0,2,13915.0,1.0,1
AbortTxnsDesc.java,36,0,1,1,0,1,10324.0,1,0,1,0,1,10324.0,1.0,1
AbortTxnsRequest.java,454,16,2,2,0,2,9243.0,2,0,2,0,2,9243.0,1.0,1
AbstractBucketJoinProc.java,4,4,2,2,0,2,32355.0,2,0,2,0,2,32355.0,1.0,1
AbstractCorrelationProcCtx.java,20,1,1,1,0,1,2932.0,1,0,1,0,1,2932.0,1.0,1
AbstractFileMergeOperator.java,56,18,5,4,1,4,22079.2,5,0,5,0,5,22079.2,1.25,1
AbstractFilterStringColLikeStringScalar.java,273,65,3,2,0,2,37123.333333333336,3,0,3,0,3,37123.333333333336,1.5,1
AbstractHBaseKeyFactory.java,3,3,1,1,0,1,589.0,1,0,1,0,1,589.0,1.0,1
AbstractHiveAuthorizer.java,41,0,1,1,0,1,91731.0,1,0,1,0,1,91731.0,1.0,1
AbstractMapJoinOperator.java,8,1,1,1,0,1,6165.0,1,0,1,0,1,6165.0,1.0,1
AbstractMapOperator.java,356,0,2,2,0,2,3330.5,2,0,2,0,2,3330.5,1.0,1
AbstractOperatorDesc.java,6,9,3,3,0,3,22253.333333333332,3,0,3,0,3,22253.333333333332,1.0,1
AbstractParquetMapInspector.java,4,4,2,2,0,2,14312.0,2,0,2,0,2,14312.0,1.0,1
AbstractSMBJoinProc.java,10,10,5,4,0,4,36069.6,5,0,5,0,5,36069.6,1.25,1
AbstractSerDe.java,2,2,2,2,0,2,8297.5,2,0,2,0,2,8297.5,1.0,1
AbstractService.java,3,3,3,1,0,1,7535.333333333333,3,0,3,0,3,7535.333333333333,3.0,3
AbstractTestAuthorizationApiAuthorizer.java,1,1,1,1,0,1,434.0,1,0,1,0,1,434.0,1.0,1
AccumuloPredicateHandler.java,6,6,3,3,0,3,21557.666666666668,3,0,3,0,3,21557.666666666668,1.0,1
