Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,CountDeclFileCode,CountDeclFileHeader,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethodConst,CountDeclMethodFriend,CountLineInactive,CountLinePreprocessor,CountStmtEmpty,CountCCViol,CountCCViolType,CCViolDensityLine,CCViolDensityCode,BugStatus
File,ParseException.java,27.0,0.0,20.0,6.0,5.0,,,,,1.0,0.0,0.0,5.0,,5.0,5.0,5.0,5.0,,0.0,0.0,1.0,4.0,,185.0,13.0,110.0,21.0,78.0,62.0,,63.0,83.0,23.0,64.0,,12.0,,3.0,,,"0,56",25.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",0
File,ParseUtils.java,21.0,1.0,17.0,3.0,5.0,,,,,2.0,20.0,1.0,22.0,,22.0,2.0,0.0,22.0,,2.0,5.0,0.0,15.0,,540.0,43.0,402.0,122.0,262.0,97.0,,213.0,299.0,120.0,228.0,,25.0,,4.0,,,"0,24",102.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",0
File,PartExprEvalUtils.java,27.0,2.0,21.0,4.0,3.0,,,,,1.0,3.0,0.0,3.0,,3.0,0.0,0.0,3.0,,0.0,0.0,0.0,3.0,,130.0,11.0,91.0,60.0,48.0,28.0,,58.0,67.0,50.0,36.0,,5.0,,1.0,,,"0,31",8.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",0
File,PartFilterExprUtil.java,15.0,0.0,11.0,4.0,2.0,,,,,2.0,4.0,1.0,7.0,,7.0,3.0,1.0,7.0,,0.0,1.0,2.0,4.0,,165.0,19.0,96.0,42.0,48.0,51.0,,48.0,65.0,36.0,37.0,,5.0,,2.0,,,"0,53",16.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",0
File,PartInfo.java,13.0,1.0,8.0,4.0,2.0,,,,,1.0,0.0,2.0,16.0,,16.0,16.0,10.0,16.0,,1.0,3.0,0.0,12.0,,284.0,38.0,152.0,42.0,75.0,94.0,,64.0,101.0,39.0,63.0,,16.0,,3.0,,,"0,62",36.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",0
File,Partish.java,4.0,0.0,4.0,0.0,1.0,,,,,3.0,3.0,0.0,26.0,,35.0,32.0,3.0,35.0,,0.0,0.0,0.0,35.0,,190.0,43.0,125.0,69.0,27.0,22.0,,48.0,77.0,50.0,27.0,,1.0,,0.0,,,"0,18",26.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",0
File,Partition.java,10.0,0.0,7.0,2.0,2.0,,,,,1.0,1.0,1.0,49.0,,49.0,48.0,5.0,49.0,,0.0,1.0,1.0,47.0,,601.0,69.0,399.0,128.0,206.0,134.0,,165.0,267.0,115.0,176.0,,10.0,,4.0,,,"0,34",100.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",1
File,Partition.java,13.0,1.0,13.0,1.0,4.0,,,,,6.0,3.0,16.0,83.0,,81.0,80.0,21.0,83.0,,1.0,2.0,0.0,80.0,,1335.0,140.0,1161.0,219.0,748.0,61.0,,551.0,818.0,200.0,663.0,,29.0,,4.0,,,"0,05",299.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",1
File,PartitionBuilder.java,5.0,0.0,5.0,0.0,1.0,,,,,1.0,0.0,0.0,12.0,,12.0,12.0,7.0,12.0,,0.0,0.0,0.0,12.0,,119.0,15.0,82.0,33.0,38.0,22.0,,53.0,71.0,32.0,41.0,,4.0,,1.0,,,"0,27",17.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",0
File,PartitionColumnsSeparator.java,36.0,3.0,22.0,10.0,5.0,,,,,4.0,0.0,4.0,11.0,,11.0,11.0,3.0,11.0,,0.0,7.0,0.0,4.0,,525.0,60.0,302.0,111.0,179.0,163.0,,155.0,218.0,106.0,151.0,,19.0,,3.0,,,"0,54",54.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",0
